Model,Accuracy,Precision,Recall,F1,AUC_ROC
LogisticRegression,0.3333333333333333,0.3333333333333333,1.0,0.5,0.2048611111111111
RandomForest,0.6111111111111112,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.5520833333333334
