State,Year_Num,LFPR,WPR,UR,Next_LFPR_Change,Target_Improved,LFPR_YoY_Change,NonAgriculture_Pct,SecondaryPlus_Pct,VocationalTraining_Pct,PMMY_Growth,LFPR_Lag1,LFPR_Lag2
Maharashtra,2019,33.125,31.75,4.95,-1.9583333333333321,0,2.8340909090909108,47.336666666666666,10.296783625730994,8.4,3.9707288676836594,30.29090909090909,27.075000000000003
Maharashtra,2020,31.166666666666668,29.708333333333332,5.6000000000000005,1.8000000000000007,0,-1.9583333333333321,0.0,10.336257309941521,9.7,-18.494783558423112,33.125,30.29090909090909
Maharashtra,2021,32.96666666666667,31.375,5.783333333333334,2.2250000000000014,0,1.8000000000000007,49.90333333333333,10.447953216374268,10.5,6.0322799352542145,31.166666666666668,33.125
Maharashtra,2022,35.19166666666667,33.791666666666664,4.85,-0.025000000000005684,0,2.2250000000000014,48.92333333333334,10.973214285714286,14.7,15.828587678462336,32.96666666666667,31.166666666666668
Manipur,2017,21.96666666666667,17.441666666666666,21.125,3.760606060606058,0,,82.71333333333332,9.987134502923976,4.7,21.232553388327524,,
Manipur,2018,25.727272727272727,21.145454545454545,20.981818181818184,1.6560606060606027,0,3.760606060606058,80.42333333333333,9.984795321637428,6.2,24.39139904218508,21.96666666666667,
Manipur,2019,27.38333333333333,23.075,17.058333333333334,-8.141666666666662,0,1.6560606060606027,80.04,10.296783625730994,8.4,3.9707288676836594,25.727272727272727,21.96666666666667
Manipur,2020,19.241666666666667,17.308333333333334,10.799999999999999,1.8000000000000007,0,-8.141666666666662,57.589999999999996,10.336257309941521,9.7,-18.494783558423112,27.38333333333333,25.727272727272727
Manipur,2021,21.041666666666668,17.191666666666666,19.558333333333334,6.566666666666666,1,1.8000000000000007,77.21333333333332,10.447953216374268,10.5,6.0322799352542145,19.241666666666667,27.38333333333333
Manipur,2022,27.608333333333334,25.525000000000002,8.766666666666667,12.758333333333333,1,6.566666666666666,69.58333333333333,10.973214285714286,14.7,15.828587678462336,21.041666666666668,19.241666666666667
Meghalaya,2017,39.24166666666667,37.44166666666667,5.916666666666667,2.394696969696966,0,,50.25333333333333,9.987134502923976,4.7,21.232553388327524,,
Meghalaya,2018,41.63636363636363,38.68181818181818,10.127272727272727,-8.336363636363629,0,2.394696969696966,56.65,9.984795321637428,6.2,24.39139904218508,39.24166666666667,
Meghalaya,2019,33.300000000000004,30.3,12.049999999999999,5.658333333333331,1,-8.336363636363629,55.32,10.296783625730994,8.4,3.9707288676836594,41.63636363636363,39.24166666666667
Meghalaya,2020,38.958333333333336,37.00833333333333,6.375,0.5,0,5.658333333333331,0.8499999999999989,10.336257309941521,9.7,-18.494783558423112,33.300000000000004,41.63636363636363
Meghalaya,2021,39.458333333333336,36.40833333333333,8.875,8.608333333333327,1,0.5,64.80333333333333,10.447953216374268,10.5,6.0322799352542145,38.958333333333336,33.300000000000004
Meghalaya,2022,48.06666666666666,41.391666666666666,15.433333333333335,9.258333333333333,1,8.608333333333327,60.300000000000004,10.973214285714286,14.7,15.828587678462336,39.458333333333336,38.958333333333336
Mizoram,2017,27.78333333333333,22.650000000000002,18.71666666666667,1.153030303030306,0,,60.26,9.987134502923976,4.7,21.232553388327524,,
Mizoram,2018,28.936363636363637,24.69090909090909,16.854545454545455,4.988636363636367,0,1.153030303030306,61.31333333333333,9.984795321637428,6.2,24.39139904218508,27.78333333333333,
Mizoram,2019,33.925000000000004,31.150000000000002,8.683333333333334,1.8166666666666629,0,4.988636363636367,52.083333333333336,10.296783625730994,8.4,3.9707288676836594,28.936363636363637,27.78333333333333
Mizoram,2020,35.74166666666667,33.725,6.433333333333334,-5.291666666666664,0,1.8166666666666629,0.0,10.336257309941521,9.7,-18.494783558423112,33.925000000000004,28.936363636363637
Mizoram,2021,30.450000000000003,26.549999999999997,13.908333333333333,7.624999999999993,1,-5.291666666666664,52.13666666666666,10.447953216374268,10.5,6.0322799352542145,35.74166666666667,33.925000000000004
Mizoram,2022,38.074999999999996,36.074999999999996,6.516666666666666,-2.74166666666666,0,7.624999999999993,49.330000000000005,10.973214285714286,14.7,15.828587678462336,30.450000000000003,35.74166666666667
Nagaland,2017,17.341666666666665,9.625,42.958333333333336,5.485606060606063,1,,70.81,9.987134502923976,4.7,21.232553388327524,,
Nagaland,2018,22.827272727272728,13.918181818181818,42.17272727272727,14.006060606060608,1,5.485606060606063,58.913333333333334,9.984795321637428,6.2,24.39139904218508,17.341666666666665,
Nagaland,2019,36.833333333333336,22.900000000000002,39.15,3.6416666666666657,0,14.006060606060608,46.96333333333333,10.296783625730994,8.4,3.9707288676836594,22.827272727272728,17.341666666666665
Nagaland,2020,40.475,28.308333333333334,32.108333333333334,1.9583333333333286,0,3.6416666666666657,0.0,10.336257309941521,9.7,-18.494783558423112,36.833333333333336,22.827272727272728
Nagaland,2021,42.43333333333333,35.31666666666667,18.433333333333334,9.100000000000001,1,1.9583333333333286,45.23333333333334,10.447953216374268,10.5,6.0322799352542145,40.475,36.833333333333336
Nagaland,2022,51.53333333333333,47.791666666666664,8.441666666666666,0.21666666666666856,0,9.100000000000001,46.18666666666667,10.973214285714286,14.7,15.828587678462336,42.43333333333333,40.475
Odisha,2017,17.525000000000002,15.491666666666667,12.125,6.4477272727272705,1,,58.876666666666665,9.987134502923976,4.7,21.232553388327524,,
Odisha,2018,23.972727272727273,20.445454545454545,16.918181818181818,5.068939393939395,1,6.4477272727272705,57.673333333333325,9.984795321637428,6.2,24.39139904218508,17.525000000000002,
Odisha,2019,29.041666666666668,26.849999999999998,8.258333333333333,-0.7250000000000014,0,5.068939393939395,54.04999999999999,10.296783625730994,8.4,3.9707288676836594,23.972727272727273,17.525000000000002
Odisha,2020,28.316666666666666,26.45,7.2749999999999995,-0.6083333333333343,0,-0.7250000000000014,0.0,10.336257309941521,9.7,-18.494783558423112,29.041666666666668,23.972727272727273
Odisha,2021,27.708333333333332,24.8,12.158333333333333,9.033333333333335,1,-0.6083333333333343,50.88999999999999,10.447953216374268,10.5,6.0322799352542145,28.316666666666666,29.041666666666668
Odisha,2022,36.74166666666667,34.85,6.199999999999999,3.6000000000000014,0,9.033333333333335,50.28333333333334,10.973214285714286,14.7,15.828587678462336,27.708333333333332,28.316666666666666
