Feature,Importance
NonAgriculture_Pct,0.15702844159413362
LFPR,0.15526559224382697
UR,0.13044212510890307
WPR,0.12365447414529646
LFPR_Lag1,0.1227650560090923
PMMY_Growth,0.11409384933943847
LFPR_Lag2,0.10048630262656943
VocationalTraining_Pct,0.04934581241686369
SecondaryPlus_Pct,0.046918346515876036
