Country,State,Year,Quarter,Type Of Areas,Gender,"Average Wage Or Salary Earnings (UOM:%(Percentage)), Scaling Factor:1","Estimated Number Of Wage Or Salary Workers (UOM:Number), Scaling Factor:100","Sample Number Of Wage Or Salary Workers (UOM:Number), Scaling Factor:1","Average Wage Earnings Per Day (UOM:%(Percentage)), Scaling Factor:1","Estimated Number Of Days Worked As Casual Labour (UOM:Number), Scaling Factor:1","Sample Number Of Days Worked As Casual Labour (UOM:Number), Scaling Factor:1","Average Gross Earnings During Last 30 Days From Self-Employment Among Self-Employed Persons In Current Weekly Statu (UOM:%(Percentage)), Scaling Factor:1","Estimated Number Of Self Employed Persons In Current Weekly Status (Cws) (UOM:Number), Scaling Factor:100","Sample Number Of Self-Employed Persons In Current Weekly Status (Cws) (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,20780,,2975,616.03,,20227,29641.13,,7846
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,13173.27,,926,465.12,,4936,15219.49,,3214
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,18441.94,,3901,583.09,,25163,28349.74,,11060
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,34630.14,,20969,680.48,,28921,65130.29,,17235
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,22981.38,,7135,0,,3778,39368.37,,4103
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,30652.12,,28104,680.48,,32699,60082,,21338
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,26962.66,,23944,637.94,,49148,42434.01,,25081
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,17931.69,,8061,465.12,,8714,29292.67,,7317
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,24045.38,,32005,611.04,,57862,40712.44,,32398
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,20047.02,,2975,599.41,,20227,16470.03,,7846
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,16290.6,,926,339.66,,4936,6659.75,,3214
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,19036.72,,3901,486.08,,25163,14817.78,,11060
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,23921.81,,20969,592.63,,28921,19506.61,,17235
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,17634.33,,7135,357.79,,3778,10002.34,,4103
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,22175.65,,28104,538.67,,32699,17194.42,,21338
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,21785.42,,23944,598.08,,49148,17180.93,,25081
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,16908.16,,8061,341.22,,8714,7751.76,,7317
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,20454.35,,32005,494.07,,57862,15415.38,,32398
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,31554.37,,2975,524.3,,20227,13451.69,,7846
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,22633.43,,926,501.19,,4936,6522.52,,3214
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,28786.52,,3901,523.56,,25163,10474.94,,11060
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,36098.11,,20969,487.2,,28921,21324.26,,17235
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,28849.25,,7135,400,,3778,10233.4,,4103
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,34468.76,,28104,484.96,,32699,17596.32,,21338
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,32698.36,,23944,521.09,,49148,14167.03,,25081
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,23741.31,,8061,494.12,,8714,6756.16,,7317
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,30095.74,,32005,520.25,,57862,11038.12,,32398
India,Assam,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,16843.03,,2975,431.68,,20227,13079.78,,7846
India,Assam,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,15206,,926,242.45,,4936,3508.89,,3214
India,Assam,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,16301.82,,3901,419.69,,25163,10211.06,,11060
India,Assam,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,26105.49,,20969,496.54,,28921,19165.68,,17235
India,Assam,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,17687.24,,7135,325.37,,3778,6674.2,,4103
India,Assam,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,23883.64,,28104,481.06,,32699,16578.13,,21338
India,Assam,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,18372.1,,23944,435.51,,49148,13502.16,,25081
India,Assam,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,15517.47,,8061,249.45,,8714,3646.71,,7317
India,Assam,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,17457.35,,32005,423.42,,57862,10604.53,,32398
India,Bihar,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,17811.9,,2975,392.16,,20227,12380.3,,7846
India,Bihar,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,20857.52,,926,330.4,,4936,5345.85,,3214
India,Bihar,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,18309.97,,3901,382.19,,25163,10901.23,,11060
India,Bihar,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,25010.52,,20969,428.04,,28921,17768.62,,17235
India,Bihar,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,22666.96,,7135,339.11,,3778,7331.56,,4103
India,Bihar,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,24597.66,,28104,425.66,,32699,16496.25,,21338
India,Bihar,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,19321.75,,23944,394.23,,49148,12759.5,,25081
India,Bihar,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,21264.6,,8061,330.48,,8714,5421.26,,7317
India,Bihar,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,19644.69,,32005,384.37,,57862,11257.88,,32398
India,Chandigarh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,20085.74,,2975,450,,20227,18332.27,,7846
India,Chandigarh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,8436.78,,926,400,,4936,0,,3214
India,Chandigarh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,17238.7,,3901,402.62,,25163,18332.27,,11060
India,Chandigarh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,32433.95,,20969,494.99,,28921,30979.39,,17235
India,Chandigarh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,22945.72,,7135,433.95,,3778,9164.54,,4103
India,Chandigarh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,30207.95,,28104,488.82,,32699,27948.96,,21338
India,Chandigarh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,31700.44,,23944,494.72,,49148,29995.02,,25081
India,Chandigarh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,22039.19,,8061,417.26,,8714,9164.54,,7317
India,Chandigarh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,29428.15,,32005,480.77,,57862,27297.39,,32398
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,14385.59,,2975,275.96,,20227,8175.5,,7846
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,10263.01,,926,202.01,,4936,4173.89,,3214
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,13529.67,,3901,254.92,,25163,7589.85,,11060
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,21142.88,,20969,311.4,,28921,15064.95,,17235
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,13604.25,,7135,232.34,,3778,11301.61,,4103
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,18858.23,,28104,293.94,,32699,14391.28,,21338
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,16968.72,,23944,279.3,,49148,9198.5,,25081
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,11955.91,,8061,204.1,,8714,5467.72,,7317
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,15730.38,,32005,258.32,,57862,8633.79,,32398
India,Delhi,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,15597.93,,2975,600,,20227,27962.48,,7846
India,Delhi,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,0,,926,0,,4936,0,,3214
India,Delhi,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,15597.93,,3901,600,,25163,27962.48,,11060
India,Delhi,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,21112.92,,20969,558.28,,28921,31160.31,,17235
India,Delhi,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,20054.51,,7135,600,,3778,10627.65,,4103
India,Delhi,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,20962.11,,28104,558.46,,32699,28322.97,,21338
India,Delhi,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,21033.96,,23944,559.27,,49148,31081.16,,25081
India,Delhi,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,20054.51,,8061,600,,8714,10627.65,,7317
India,Delhi,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,20896.12,,32005,559.44,,57862,28315.25,,32398
India,Goa,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,26812.33,,2975,765.35,,20227,25113.34,,7846
India,Goa,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,18004.97,,926,0,,4936,7499.48,,3214
India,Goa,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,25424.78,,3901,765.35,,25163,24330.73,,11060
India,Goa,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,27523.04,,20969,820.55,,28921,37786.53,,17235
India,Goa,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,24016.52,,7135,487.11,,3778,16205.47,,4103
India,Goa,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,26481.29,,28104,743.99,,32699,35224.43,,21338
India,Goa,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,27265.52,,23944,792.73,,49148,31283.12,,25081
India,Goa,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,22808.8,,8061,487.11,,8714,13883.01,,7317
India,Goa,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,26141.5,,32005,753.37,,57862,29854.56,,32398
India,Gujarat,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,12730.15,,2975,359.69,,20227,13025.34,,7846
India,Gujarat,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,8390.9,,926,283.69,,4936,5615.02,,3214
India,Gujarat,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,12057.69,,3901,331.01,,25163,10347.94,,11060
India,Gujarat,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,18676.66,,20969,424.78,,28921,24011.08,,17235
India,Gujarat,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,12323.04,,7135,228.54,,3778,6054.1,,4103
India,Gujarat,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,17454.26,,28104,391.59,,32699,19323.87,,21338
India,Gujarat,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,16324.65,,23944,369.05,,49148,17345.82,,25081
India,Gujarat,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,11005.84,,8061,280.75,,8714,5741.53,,7317
India,Gujarat,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,15377.93,,32005,337.78,,57862,13570.97,,32398
India,Haryana,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,16140.11,,2975,511.29,,20227,17977.88,,7846
India,Haryana,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,14277.14,,926,345.49,,4936,5307.63,,3214
India,Haryana,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,15886.78,,3901,474.73,,25163,15173.12,,11060
India,Haryana,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,23970.92,,20969,501.68,,28921,25317.76,,17235
India,Haryana,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,19401.85,,7135,339.85,,3778,10603.57,,4103
India,Haryana,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,23137.26,,28104,497.19,,32699,23039.44,,21338
India,Haryana,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,20173.01,,23944,508.14,,49148,20033.48,,25081
India,Haryana,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,17356.73,,8061,345.22,,8714,6369.11,,7317
India,Haryana,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,19720.84,,32005,481.03,,57862,17248.49,,32398
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,21189.61,,2975,488.88,,20227,12847.11,,7846
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,12810.33,,926,406.97,,4936,3677.47,,3214
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,19015.7,,3901,484.79,,25163,8326.34,,11060
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,26577.88,,20969,512.43,,28921,26469.16,,17235
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,23677.01,,7135,400,,3778,8981.57,,4103
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,25594.74,,28104,507.65,,32699,22141.95,,21338
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,22270.57,,23944,490.12,,49148,13675.73,,25081
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,15729.15,,8061,406.65,,8714,3791.14,,7317
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,20459.39,,32005,485.98,,57862,8903.96,,32398
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,27489.59,,2975,515.98,,20227,15380.17,,7846
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,28704.76,,926,0,,4936,4675.99,,3214
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,27688.35,,3901,515.98,,25163,10245.01,,11060
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,30451.84,,20969,540.27,,28921,23110.76,,17235
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,31733.92,,7135,474.22,,3778,7977.83,,4103
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,30718.08,,28104,532.41,,32699,20309.52,,21338
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,28360.99,,23944,517.57,,49148,16806.83,,25081
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,29790.37,,8061,474.22,,8714,4850.35,,7317
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,28614.04,,32005,517.19,,57862,11515.63,,32398
India,Jharkhand,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,17975.03,,2975,394.05,,20227,12174.98,,7846
India,Jharkhand,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,5350.55,,926,374.69,,4936,2181.38,,3214
India,Jharkhand,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,15126.04,,3901,393.47,,25163,9397.72,,11060
India,Jharkhand,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,30912.47,,20969,417.18,,28921,19488.13,,17235
India,Jharkhand,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,16810.49,,7135,385.1,,3778,9069.14,,4103
India,Jharkhand,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,28307.51,,28104,415.36,,32699,18373.68,,21338
India,Jharkhand,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,23030.94,,23944,396.38,,49148,13166.97,,25081
India,Jharkhand,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,9163.98,,8061,376.56,,8714,2502.11,,7317
India,Jharkhand,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,20116.54,,32005,395.73,,57862,10408.44,,32398
India,Karnataka,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,17839.64,,2975,453.84,,20227,16363.76,,7846
India,Karnataka,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,11595.27,,926,267.88,,4936,8546.03,,3214
India,Karnataka,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,16403.68,,3901,396.11,,25163,14948.3,,11060
India,Karnataka,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,31594.93,,20969,545.93,,28921,24924.51,,17235
India,Karnataka,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,23166.78,,7135,322.56,,3778,8111.13,,4103
India,Karnataka,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,28800.05,,28104,507.74,,32699,22365.96,,21338
India,Karnataka,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,26136.84,,23944,477.21,,49148,18828.04,,25081
India,Karnataka,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,19884.58,,8061,275.25,,8714,8438.58,,7317
India,Karnataka,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,24294.51,,32005,420.71,,57862,17031.22,,32398
India,Kerala,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,20896.84,,2975,845.63,,20227,19374.07,,7846
India,Kerala,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,19246.1,,926,418.86,,4936,6558.94,,3214
India,Kerala,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,20044.74,,3901,801.28,,25163,16649.94,,11060
India,Kerala,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,25588.69,,20969,903.26,,28921,21419.07,,17235
India,Kerala,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,20980.43,,7135,493.54,,3778,7934.43,,4103
India,Kerala,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,23698.6,,28104,879.79,,32699,18787.76,,21338
India,Kerala,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,23617.11,,23944,870.29,,49148,20212.53,,25081
India,Kerala,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,20067.24,,8061,439.89,,8714,7087.51,,7317
India,Kerala,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,21984.53,,32005,833.9,,57862,17515.16,,32398
India,Ladakh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,34464.22,,2975,574.62,,20227,20153.58,,7846
India,Ladakh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,35120.73,,926,0,,4936,2286.41,,3214
India,Ladakh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,34580.3,,3901,574.62,,25163,9762.41,,11060
India,Ladakh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,23992.54,,20969,800,,28921,22367.11,,17235
India,Ladakh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,17301.29,,7135,0,,3778,20000,,4103
India,Ladakh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,23124.89,,28104,800,,32699,21695.87,,21338
India,Ladakh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,32633.46,,23944,578.91,,49148,20226.66,,25081
India,Ladakh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,32837.37,,8061,0,,8714,2456.98,,7317
India,Ladakh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,32667.9,,32005,578.91,,57862,9995.72,,32398
India,Lakshadweep,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,68543.03,,2975,768.82,,20227,18604.53,,7846
India,Lakshadweep,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,12631.65,,926,0,,4936,0,,3214
India,Lakshadweep,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,59134.11,,3901,768.82,,25163,18604.53,,11060
India,Lakshadweep,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,49623.07,,20969,795.27,,28921,16689.26,,17235
India,Lakshadweep,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,24491.04,,7135,400,,3778,10866.18,,4103
India,Lakshadweep,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,42116.08,,28104,767.51,,32699,15730.42,,21338
India,Lakshadweep,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,57719.13,,23944,794.4,,49148,16730.39,,25081
India,Lakshadweep,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,21381.91,,8061,400,,8714,10866.18,,7317
India,Lakshadweep,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,48698.03,,32005,767.55,,57862,15782.16,,32398
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,15826.62,,2975,337,,20227,11463.95,,7846
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,5571.66,,926,261.43,,4936,4395.36,,3214
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,14869.74,,3901,323.26,,25163,10190.35,,11060
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,21451.5,,20969,366.87,,28921,16888.49,,17235
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,18667.36,,7135,248.84,,3778,7119.67,,4103
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,20922.78,,28104,356.85,,32699,15395.54,,21338
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,18767.02,,23944,340.66,,49148,12547.79,,25081
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,14920.48,,8061,260.74,,8714,4858.75,,7317
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,18203.47,,32005,326.99,,57862,11203.32,,32398
India,Maharashtra,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,16455.58,,2975,364.77,,20227,17138.68,,7846
India,Maharashtra,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,9351.55,,926,245,,4936,10258.59,,3214
India,Maharashtra,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,15323.52,,3901,315.76,,25163,15796.05,,11060
India,Maharashtra,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,26844.46,,20969,495.08,,28921,31224.64,,17235
India,Maharashtra,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,21309.28,,7135,274.87,,3778,15021.08,,4103
India,Maharashtra,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,25345.36,,28104,468.07,,32699,28158.51,,21338
India,Maharashtra,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,24140.63,,23944,390.81,,49148,21743.73,,25081
India,Maharashtra,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,19488.98,,8061,246.43,,8714,11775.86,,7317
India,Maharashtra,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,23002.06,,32005,337.69,,57862,19817.73,,32398
India,Manipur,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,20361.17,,2975,591.1,,20227,14713.23,,7846
India,Manipur,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,25279.54,,926,0,,4936,8184.03,,3214
India,Manipur,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,21741.59,,3901,591.1,,25163,12101.09,,11060
India,Manipur,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,23926.85,,20969,531.93,,28921,16229.52,,17235
India,Manipur,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,22831.67,,7135,500,,3778,8025.9,,4103
India,Manipur,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,23611.35,,28104,529.65,,32699,13546.79,,21338
India,Manipur,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,22365.57,,23944,573.34,,49148,15253.31,,25081
India,Manipur,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,23881.61,,8061,500,,8714,8138.6,,7317
India,Manipur,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,22797.42,,32005,571.69,,57862,12578.59,,32398
