Country,Year,Gender,Type Of Areas,Age Group,Status Of Usual Activity,Industry Of Usual Activity,"Not Literates Under Highest Level Of Education Successfully Completed (UOM:%(Percentage)), Scaling Factor:1","Literates Upto Primary Level Of Education Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Persons With Middle Level Education Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Persons With Secondary Level Education Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Persons With Higher Secondary Level Education Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Persons With Diploma Or Certificate Course Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Graduates Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Post Graduates And Above Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Persons With Secondary Level And Above Education Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","All Persons Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Estimated Persons Under Highest Level Of Education Completed (UOM:Number), Scaling Factor:1","Sample Persons Under Highest Level Of Education Completed (UOM:Number), Scaling Factor:1"
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,"11,12",01-03,8.8,6.8,5.1,3.3,4.1,5.4,4.3,2.4,3.8,4.6,,1400.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,"11,12",01-96,12.9,15.4,12.3,8.3,10.3,11.9,14.7,17.4,10.6,11.6,,3857.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,"11,12",05-43,2.1,2.8,1.9,1.5,1.0,0.8,2.0,0.9,1.4,1.7,,588.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,"11,12",45-96,2.0,5.8,5.3,3.5,5.1,5.8,8.4,14.1,5.4,5.3,,1869.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,21,01-03,16.9,14.7,17.7,14.4,16.7,9.6,19.4,18.8,16.2,16.5,,4996.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,21,01-96,17.5,17.6,19.9,16.5,19.4,12.1,22.6,20.1,18.7,18.9,,5739.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,21,05-43,0.1,1.6,0.9,0.5,0.7,1.3,0.8,0.0,0.6,0.8,,209.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,21,45-96,0.6,1.2,1.3,1.5,1.9,1.2,2.5,1.2,1.8,1.6,,534.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,11-21,01-03,25.7,21.5,22.8,17.7,20.9,15.0,23.7,21.2,20.0,21.1,,6396.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,11-21,01-96,30.5,33.0,32.2,24.8,29.6,24.0,37.3,37.5,29.3,30.5,,9596.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,11-21,05-43,2.1,4.4,2.8,2.0,1.7,2.1,2.7,0.9,2.0,2.5,,797.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,11-21,45-96,2.6,7.1,6.6,5.1,7.0,7.0,10.9,15.4,7.2,6.9,,2403.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,31,01-03,1.3,0.4,0.4,0.1,0.2,0.0,0.0,0.0,0.1,0.3,,85.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,31,01-99,9.3,9.9,8.5,9.6,11.4,40.8,21.5,32.1,14.2,12.0,,4091.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,31,05-43,4.9,3.5,3.5,4.8,4.4,24.8,6.4,4.8,5.7,4.8,,1508.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,31,45-99,3.0,6.0,4.6,4.7,6.7,15.9,15.1,27.4,8.4,6.9,,2498.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,41,,0.2,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,,44.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,51,01-03,10.2,10.6,4.6,2.3,1.8,1.8,1.0,1.1,1.8,3.8,,1082.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,51,01-99,42.6,41.6,22.8,12.0,7.7,8.4,4.0,1.6,8.5,16.8,,5007.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,51,05-43,30.1,29.4,16.7,8.7,5.1,4.7,2.5,0.4,5.8,12.0,,3578.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,51,45-99,2.3,1.6,1.5,1.0,0.8,1.8,0.5,0.0,0.8,1.1,,347.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,41 & 51,01-99,42.8,41.7,22.8,12.1,7.7,8.4,4.1,1.6,8.5,16.9,,5051.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,11-51,01-03,37.3,32.4,27.8,20.1,22.9,16.8,24.7,22.3,22.0,25.1,,7563.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,11-51,01-99,82.6,84.6,63.5,46.5,48.7,73.1,62.8,71.2,52.0,59.5,,18738.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,11-51,05-43,37.3,37.5,23.0,15.5,11.3,31.6,11.8,6.1,13.6,19.4,,5927.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,11-51,45-99,7.9,14.7,12.7,10.8,14.5,24.7,26.4,42.7,16.4,15.0,,5248.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,81,,4.0,2.6,3.1,2.4,4.6,13.6,20.4,18.0,7.5,5.6,,1833.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,11-81,,86.6,87.2,66.5,48.8,53.3,86.7,83.2,89.2,59.5,65.1,,20571.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,UR,,4.6,2.9,4.6,4.9,8.6,15.7,24.5,20.2,12.5,8.7,,
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,91,,0.0,9.9,31.4,50.5,46.1,12.5,16.3,10.3,39.9,33.3,,11058.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,92,,1.3,0.7,0.4,0.1,0.1,0.0,0.0,0.3,0.1,0.3,,91.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,93,,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.1,0.1,,40.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,94,,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,,6.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,95,,11.1,1.3,0.8,0.3,0.2,0.1,0.1,0.0,0.2,0.8,,258.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,97,,0.8,0.8,0.7,0.1,0.3,0.6,0.2,0.2,0.2,0.4,,131.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,91-97,,13.4,12.8,33.5,51.2,46.7,13.3,16.8,10.8,40.5,34.9,,11584.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,11-97,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,32155.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,"11,12",01-03,37.1,29.9,21.6,19.2,15.9,10.1,13.8,11.1,16.3,23.8,,20727.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,"11,12",01-96,44.2,44.3,37.1,31.5,29.3,24.5,28.9,24.9,29.7,36.8,,33336.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,"11,12",05-43,2.7,5.0,4.8,3.5,2.8,4.4,2.3,1.6,3.0,3.7,,3497.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,"11,12",45-96,4.5,9.4,10.7,8.8,10.6,10.0,12.8,12.3,10.4,9.2,,9112.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,21,01-03,3.4,4.9,10.1,9.5,12.9,6.6,12.9,8.8,11.2,8.4,,7021.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,21,01-96,3.7,5.8,11.3,10.9,14.9,8.0,15.1,9.6,12.9,9.6,,8040.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,21,05-43,0.1,0.4,0.5,0.3,0.6,0.7,0.5,0.0,0.4,0.4,,292.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,21,45-96,0.1,0.5,0.8,1.0,1.4,0.8,1.7,0.7,1.3,0.8,,727.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,11-21,01-03,40.5,34.8,31.7,28.8,28.8,16.7,26.7,19.9,27.5,32.2,,27748.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,11-21,01-96,48.0,50.1,48.4,42.4,44.2,32.5,44.0,34.5,42.6,46.3,,41376.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,11-21,05-43,2.8,5.4,5.3,3.7,3.4,5.1,2.8,1.6,3.4,4.1,,3789.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,11-21,45-96,4.6,9.9,11.4,9.8,12.0,10.8,14.5,13.0,11.7,10.0,,9839.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,31,01-03,0.7,0.5,0.5,0.2,0.2,0.0,0.1,0.1,0.2,0.4,,439.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,31,01-99,3.2,8.1,10.5,12.6,14.5,41.4,30.0,49.1,19.4,12.3,,12114.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,31,05-43,1.1,3.1,4.2,4.9,5.2,24.4,6.6,7.1,6.2,4.2,,3739.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,31,45-99,1.5,4.5,5.9,7.6,9.0,17.1,23.3,41.8,13.1,7.7,,7936.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,41,,0.4,0.2,0.2,0.0,0.0,0.3,0.1,0.0,0.0,0.2,,190.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,51,01-03,11.6,9.2,5.1,3.1,2.5,2.0,1.1,0.5,2.3,5.9,,4560.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,51,01-99,27.2,30.0,21.7,13.7,8.6,8.8,3.8,1.6,9.3,19.3,,16121.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,51,05-43,14.6,19.7,15.4,9.6,5.5,5.6,2.3,0.9,6.2,12.4,,10658.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,51,45-99,1.0,1.1,1.2,1.1,0.7,1.3,0.4,0.1,0.8,1.0,,903.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,41 & 51,01-99,27.6,30.2,21.9,13.8,8.6,9.1,3.9,1.6,9.4,19.5,,16311.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,11-51,01-03,52.8,44.6,37.2,32.0,31.5,18.7,27.9,20.6,30.0,38.6,,32766.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,11-51,01-99,78.8,88.5,80.8,68.8,67.3,83.1,77.9,85.2,71.4,78.1,,69801.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,11-51,05-43,18.9,28.3,25.1,18.2,14.1,35.3,11.7,9.6,15.8,20.8,,18353.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,11-51,45-99,7.1,15.6,18.6,18.5,21.7,29.1,38.3,55.0,25.5,18.7,,18682.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,81,,0.3,0.6,1.3,1.3,2.9,7.7,10.8,7.6,4.3,2.2,,2011.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,11-81,,79.1,89.1,82.2,70.1,70.2,90.8,88.7,92.7,75.6,80.2,,71812.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,UR,,0.3,0.6,1.6,1.8,4.1,8.5,12.1,8.2,5.6,2.7,,
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,91,,0.0,2.0,13.1,25.4,27.5,6.5,8.1,3.2,20.9,11.8,,11065.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,92,,1.1,0.8,0.5,0.3,0.2,0.1,0.2,0.1,0.2,0.5,,560.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,93,,0.3,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,,138.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,94,,10.9,4.7,2.5,2.8,1.3,2.0,2.3,3.8,2.2,4.3,,3859.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,95,,4.9,2.2,1.0,0.9,0.3,0.3,0.3,0.0,0.5,1.7,,1438.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,97,,3.6,1.2,0.8,0.5,0.4,0.3,0.3,0.1,0.4,1.2,,1001.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,91-97,,20.9,10.9,17.8,29.9,29.8,9.2,11.3,7.3,24.4,19.8,,18061.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15 years and above,11-97,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,89873.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,"11,12",01-03,20.4,13.8,19.4,19.2,15.9,10.1,13.8,11.1,16.3,17.2,,20738.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,"11,12",01-96,24.3,20.5,33.3,31.4,29.3,24.5,28.9,24.9,29.7,26.5,,33350.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,"11,12",05-43,1.5,2.3,4.3,3.4,2.8,4.4,2.3,1.6,3.0,2.7,,3497.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,"11,12",45-96,2.5,4.4,9.6,8.8,10.6,10.0,12.8,12.3,10.4,6.6,,9115.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,21,01-03,1.9,2.4,9.3,9.5,12.9,6.6,12.9,8.8,11.2,6.1,,7135.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,21,01-96,2.1,2.9,10.4,10.9,14.9,8.0,15.1,9.6,12.9,7.0,,8170.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,21,05-43,0.1,0.2,0.5,0.3,0.6,0.7,0.5,0.0,0.4,0.3,,293.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,21,45-96,0.1,0.2,0.7,1.0,1.4,0.8,1.7,0.7,1.3,0.6,,742.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,11-21,01-03,22.3,16.3,28.7,28.7,28.8,16.7,26.7,19.9,27.5,23.3,,27873.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,11-21,01-96,26.4,23.4,43.7,42.3,44.2,32.5,44.0,34.5,42.6,33.4,,41520.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,11-21,05-43,1.5,2.5,4.8,3.7,3.4,5.1,2.8,1.6,3.4,2.9,,3790.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,11-21,45-96,2.5,4.6,10.3,9.8,12.0,10.8,14.5,13.0,11.7,7.2,,9857.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,31,01-03,0.4,0.3,0.4,0.2,0.2,0.0,0.1,0.1,0.2,0.3,,439.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,31,01-99,1.8,3.8,9.5,12.6,14.5,41.4,30.0,49.1,19.4,8.9,,12126.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,31,05-43,0.6,1.4,3.8,4.9,5.2,24.4,6.6,7.1,6.2,3.0,,3741.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,31,45-99,0.8,2.1,5.3,7.6,9.0,17.1,23.3,41.8,13.1,5.6,,7946.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,41,,0.2,0.1,0.2,0.0,0.0,0.3,0.1,0.0,0.0,0.1,,190.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,51,01-03,6.4,4.3,4.6,3.1,2.5,2.0,1.1,0.5,2.3,4.3,,4563.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,51,01-99,15.0,13.9,19.5,13.7,8.6,8.8,3.8,1.6,9.3,13.9,,16133.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,51,05-43,8.0,9.1,13.9,9.6,5.5,5.6,2.3,0.9,6.2,8.9,,10664.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,51,45-99,0.6,0.5,1.1,1.1,0.7,1.3,0.4,0.1,0.8,0.7,,906.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,41 & 51,01-99,15.2,14.0,19.7,13.8,8.6,9.1,3.9,1.6,9.4,14.0,,16323.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,11-51,01-03,29.0,20.8,33.6,32.0,31.5,18.7,27.9,20.6,30.0,27.8,,32894.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,11-51,01-99,43.3,41.1,72.9,68.7,67.3,83.1,77.9,85.2,71.3,56.3,,69969.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,11-51,05-43,10.4,13.1,22.5,18.2,14.1,35.3,11.7,9.6,15.8,15.0,,18362.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,11-51,45-99,3.9,7.3,16.7,18.5,21.7,29.1,38.3,55.0,25.5,13.5,,18713.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,81,,0.2,0.3,1.2,1.3,2.9,7.7,10.8,7.6,4.3,1.6,,2022.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,11-81,,43.5,41.4,74.1,70.0,70.2,90.8,88.7,92.7,75.6,57.9,,71991.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,UR,,0.4,0.7,1.6,1.8,4.1,8.5,12.1,8.2,5.6,2.7,,
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,91,,7.7,53.5,21.6,25.5,27.5,6.5,8.1,3.2,20.9,27.2,,32808.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,92,,0.7,0.4,0.4,0.3,0.2,0.1,0.2,0.1,0.2,0.4,,589.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,93,,0.2,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,,143.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,94,,6.0,2.1,2.2,2.8,1.3,2.0,2.3,3.8,2.2,3.1,,3860.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,95,,2.8,1.0,0.9,0.9,0.3,0.3,0.3,0.0,0.5,1.3,,1494.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,97,,3.4,0.7,0.7,0.5,0.4,0.3,0.3,0.1,0.4,1.3,,1328.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,99,,35.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,,9916.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,91-99,,56.5,58.6,25.9,30.0,29.8,9.2,11.3,7.3,24.4,42.1,,50138.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,all ages,11-99,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,122129.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,"11,12",01-03,7.7,6.1,3.7,2.5,1.5,2.1,0.7,1.1,1.7,3.2,,1139.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,"11,12",01-96,9.5,9.8,7.6,5.6,5.1,7.2,4.9,5.2,5.3,6.7,,2359.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,"11,12",05-43,0.8,3.3,3.4,2.6,2.7,3.0,2.1,1.4,2.5,2.8,,891.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,"11,12",45-96,0.9,0.4,0.5,0.5,0.8,2.2,2.1,2.8,1.0,0.8,,329.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,21,01-03,21.9,19.4,15.6,10.7,11.0,7.1,9.6,8.7,10.5,13.7,,4484.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,21,01-96,22.6,20.7,17.2,11.9,12.3,7.6,11.1,9.2,11.7,15.0,,4884.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,21,05-43,0.4,0.7,1.1,0.7,0.6,0.0,0.7,0.3,0.6,0.8,,213.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,21,45-96,0.3,0.6,0.4,0.5,0.6,0.6,0.8,0.2,0.6,0.5,,187.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,11-21,01-03,29.6,25.6,19.3,13.1,12.6,9.1,10.4,9.8,12.2,16.9,,5623.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,11-21,01-96,32.1,30.5,24.8,17.5,17.4,14.9,16.0,14.4,17.0,21.7,,7243.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,11-21,05-43,1.3,3.9,4.5,3.3,3.4,3.0,2.8,1.6,3.2,3.5,,1104.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,11-21,45-96,1.3,1.0,0.9,1.1,1.5,2.7,2.8,3.0,1.6,1.3,,516.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,31,01-03,0.5,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,35.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,31,01-99,1.0,1.5,0.8,1.1,2.2,21.8,10.0,14.6,3.9,2.6,,951.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,31,05-43,0.1,0.3,0.3,0.3,0.4,2.5,0.9,0.7,0.5,0.4,,161.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,31,45-99,0.5,0.7,0.4,0.8,1.7,19.3,9.1,13.9,3.4,2.0,,755.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,41,,0.1,0.5,0.2,0.2,0.3,0.4,0.3,0.3,0.2,0.2,,119.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,51,01-03,7.6,8.7,3.4,2.0,1.1,0.1,0.3,0.3,1.3,3.1,,722.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,51,01-99,10.4,10.7,3.8,2.3,1.3,0.1,0.3,0.3,1.5,3.8,,916.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,51,05-43,2.8,2.0,0.4,0.3,0.1,0.0,0.0,0.0,0.2,0.6,,173.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,51,45-99,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,21.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,41 & 51,01-99,10.5,11.2,4.0,2.5,1.6,0.5,0.6,0.7,1.7,4.0,,1035.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,11-51,01-03,37.7,34.6,22.8,15.2,13.7,9.3,10.7,10.1,13.5,20.1,,6381.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,11-51,01-99,43.6,43.2,29.5,21.1,21.1,37.1,26.6,29.7,22.6,28.3,,9229.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,11-51,05-43,4.2,6.8,5.4,4.0,4.2,5.8,4.0,2.7,4.1,4.8,,1553.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,11-51,45-99,1.7,1.8,1.4,1.9,3.3,22.0,11.9,16.9,5.1,3.4,,1295.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,81,,0.1,0.3,0.5,0.6,1.5,15.8,12.2,30.2,4.3,2.5,,987.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,11-81,,43.7,43.5,30.1,21.7,22.6,53.0,38.8,59.9,27.0,30.8,,10216.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,UR,,0.3,0.6,1.8,2.8,6.4,29.9,31.5,50.4,16.1,8.2,,
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,91,,0.2,6.4,27.6,49.0,42.8,14.7,17.6,5.6,38.8,29.4,,9349.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,92,,34.2,31.8,28.9,21.1,24.9,24.6,31.8,27.4,24.9,27.4,,7598.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,93,,17.9,17.2,12.5,7.8,8.9,7.7,11.0,6.6,8.8,11.4,,3201.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,94,,1.8,0.4,0.5,0.2,0.5,0.0,0.4,0.6,0.4,0.5,,121.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,95,,1.9,0.7,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.3,,117.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,97,,0.3,0.1,0.1,0.0,0.2,0.0,0.4,0.0,0.2,0.2,,33.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,91-97,,56.3,56.5,69.9,78.3,77.4,47.0,61.2,40.1,73.0,69.2,,20419.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15-29 years,11-97,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,30635.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15 years and above,"11,12",01-03,14.8,13.8,9.5,6.6,3.8,5.6,2.7,2.6,4.7,10.7,,11607.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15 years and above,"11,12",01-96,17.0,18.6,14.7,11.0,8.6,11.0,6.6,6.9,9.2,14.6,,15699.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15 years and above,"11,12",05-43,1.4,3.7,4.2,3.6,3.2,3.5,2.1,1.1,3.1,2.8,,2776.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15 years and above,"11,12",45-96,0.7,1.1,1.0,0.9,1.5,1.9,1.8,3.2,1.4,1.0,,1316.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15 years and above,21,01-03,22.8,20.6,17.4,13.3,12.2,6.9,9.0,7.6,11.8,18.2,,16637.0
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,15 years and above,21,01-96,23.7,22.3,19.2,15.2,13.7,7.9,10.4,8.5,13.3,19.6,,17975.0
