Country,State,Year,Type Of Areas,Age Group,Gender,"Labour Force Participation Rate According To Usual Status (Ps+Ss) (UOM:%(Percentage)), Scaling Factor:1","Worker Population Rate According To Usual Status (Ps+Ss) (UOM:%(Percentage)), Scaling Factor:1"," Unemployment Rate According To Usual Status (Ps+Ss) (UOM:%(Percentage)), Scaling Factor:1"
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Female,51.2,49.7,2.9
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Persons,64.2,62,3.4
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Male,59.7,57.4,3.8
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Female,40.7,39.6,2.9
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Persons,50.1,48.4,3.4
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Male,57.2,45.7,20.1
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Female,22.4,15.9,29.1
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Persons,39.3,30.4,22.7
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Male,81.1,76.3,5.8
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Female,34.1,31.6,7.2
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Persons,56.8,53.3,6.3
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15 years and above,Male,73.9,69.8,5.5
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15 years and above,Female,30.2,28.1,6.9
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15 years and above,Persons,51.3,48.2,5.9
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,All Ages,Male,59.3,56,5.5
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,All Ages,Female,24.5,22.8,6.9
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,All Ages,Persons,41.3,38.9,5.9
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-29 years,Male,61.2,51.2,16.4
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-29 years,Female,29.9,24,19.7
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-29 years,Persons,45.6,37.7,17.5
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-59 years,Male,83.6,79.8,4.6
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-59 years,Female,51.3,49.2,4
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-59 years,Persons,67.1,64.2,4.4
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15 years and above,Male,76.7,73.4,4.3
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15 years and above,Female,44.8,43.1,3.7
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15 years and above,Persons,60.2,57.8,4.1
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,All Ages,Male,59.5,57,4.3
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,All Ages,Female,35.8,34.5,3.7
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,All Ages,Persons,47.5,45.6,4.1
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,15-29 years,Male,57,45.5,20
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,15-29 years,Female,49.3,42.3,14.3
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,15-29 years,Persons,53.2,43.9,17.4
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,15-59 years,Male,82.5,77.7,5.8
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,15-59 years,Female,73.3,69.8,4.8
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,15-59 years,Persons,78,73.8,5.4
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Male,80,75.6,5.4
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Female,70.8,67.5,4.6
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Persons,75.5,71.7,5.1
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Male,59.3,56,5.4
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Female,53.1,50.7,4.6
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Persons,56.3,53.5,5
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Male,44.3,29.2,34.2
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Female,32.5,15,53.8
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Persons,38.1,21.7,43
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Male,77.2,69.7,9.7
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Female,48.2,39.4,18.4
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Persons,62.5,54.4,13.1
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15 years and above,Male,75.1,68.1,9.4
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15 years and above,Female,46.4,38,18.1
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15 years and above,Persons,60.5,52.8,12.8
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,All Ages,Male,56,50.8,9.4
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,All Ages,Female,34.5,28.2,18.1
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,All Ages,Persons,45.1,39.3,12.8
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-29 years,Male,54.8,42.8,21.9
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-29 years,Female,46.1,37.1,19.6
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-29 years,Persons,50.5,40,20.9
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-59 years,Male,81.6,76.4,6.4
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-59 years,Female,68.9,64.4,6.5
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-59 years,Persons,75.4,70.5,6.5
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15 years and above,Male,79.2,74.4,6.1
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15 years and above,Female,66.5,62.4,6.2
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15 years and above,Persons,73,68.5,6.1
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,All Ages,Male,58.7,55.2,6
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,All Ages,Female,49.9,46.8,6.2
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,All Ages,Persons,54.4,51.1,6.1
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural,15-29 years,Male,67.6,58.9,12.9
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural,15-29 years,Female,36.2,31.5,13
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural,15-29 years,Persons,51.9,45.2,12.9
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural,15-59 years,Male,87.4,84,3.9
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural,15-59 years,Female,55.3,53.2,3.8
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural,15-59 years,Persons,71.5,68.7,3.9
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Male,83.8,80.8,3.6
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Female,52.8,50.9,3.5
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Persons,68.5,66.1,3.5
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Male,60.7,58.5,3.6
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Female,38.2,36.9,3.5
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Persons,49.6,47.8,3.5
India,Assam,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Male,65.2,51.5,21.1
India,Assam,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Female,25.9,16.6,36
India,Assam,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Persons,46,34.5,25.2
India,Assam,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Male,86.7,81.4,6.2
India,Assam,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Female,34.8,30.5,12.4
India,Assam,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Persons,60.8,56,7.9
