Country,State,Year,Type Of Areas,Age Group,Gender,"Labour Force Participation Rate According To Usual Status (Ps+Ss) (UOM:%(Percentage)), Scaling Factor:1","Worker Population Rate According To Usual Status (Ps+Ss) (UOM:%(Percentage)), Scaling Factor:1"," Unemployment Rate According To Usual Status (Ps+Ss) (UOM:%(Percentage)), Scaling Factor:1"
India,Delhi,"PLFS Year (Jul - Jun), 2022",Urban,15 years and above,Female,15.1,14.8,2.2
India,Delhi,"PLFS Year (Jul - Jun), 2022",Urban,15 years and above,Persons,46.9,46.1,1.7
India,Delhi,"PLFS Year (Jul - Jun), 2022",Urban,All Ages,Male,57,56.1,1.6
India,Delhi,"PLFS Year (Jul - Jun), 2022",Urban,All Ages,Female,11.6,11.3,2.2
India,Delhi,"PLFS Year (Jul - Jun), 2022",Urban,All Ages,Persons,35.9,35.3,1.7
India,Delhi,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-29 years,Male,53.4,50.1,6.1
India,Delhi,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-29 years,Female,14.2,13.3,6.2
India,Delhi,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-29 years,Persons,35.4,33.2,6.1
India,Delhi,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-59 years,Male,79,77.5,1.9
India,Delhi,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-59 years,Female,16.3,16,2.3
India,Delhi,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-59 years,Persons,50.4,49.4,2
India,Delhi,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15 years and above,Male,74.4,73.1,1.8
India,Delhi,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15 years and above,Female,14.8,14.5,2.2
India,Delhi,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15 years and above,Persons,46.7,45.8,1.9
India,Delhi,"PLFS Year (Jul - Jun), 2022",Rural + Urban,All Ages,Male,57.1,56,1.8
India,Delhi,"PLFS Year (Jul - Jun), 2022",Rural + Urban,All Ages,Female,11.3,11.1,2.2
India,Delhi,"PLFS Year (Jul - Jun), 2022",Rural + Urban,All Ages,Persons,35.7,35,1.9
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural,15-29 years,Male,52.9,38.3,27.7
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural,15-29 years,Female,29.2,11.7,59.9
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural,15-29 years,Persons,41.2,25.2,38.9
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural,15-59 years,Male,79.7,73.1,8.3
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural,15-59 years,Female,31.5,25.6,18.7
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural,15-59 years,Persons,54.4,48.1,11.5
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural,15 years and above,Male,71.8,65.5,8.7
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural,15 years and above,Female,26.3,21.7,17.7
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural,15 years and above,Persons,47.8,42.4,11.3
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural,All Ages,Male,57.7,52.6,8.7
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural,All Ages,Female,21.5,17.7,17.7
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural,All Ages,Persons,38.7,34.4,11.3
India,Goa,"PLFS Year (Jul - Jun), 2022",Urban,15-29 years,Male,66.4,55.8,15.9
India,Goa,"PLFS Year (Jul - Jun), 2022",Urban,15-29 years,Female,45,30.5,32.1
India,Goa,"PLFS Year (Jul - Jun), 2022",Urban,15-29 years,Persons,56.8,44.5,21.6
India,Goa,"PLFS Year (Jul - Jun), 2022",Urban,15-59 years,Male,84.4,78.1,7.5
India,Goa,"PLFS Year (Jul - Jun), 2022",Urban,15-59 years,Female,36.5,31.7,12.9
India,Goa,"PLFS Year (Jul - Jun), 2022",Urban,15-59 years,Persons,61.2,55.7,9.1
India,Goa,"PLFS Year (Jul - Jun), 2022",Urban,15 years and above,Male,72.8,67.6,7.1
India,Goa,"PLFS Year (Jul - Jun), 2022",Urban,15 years and above,Female,29.4,25.6,12.7
India,Goa,"PLFS Year (Jul - Jun), 2022",Urban,15 years and above,Persons,51.5,47,8.7
India,Goa,"PLFS Year (Jul - Jun), 2022",Urban,All Ages,Male,60.4,56.1,7.1
India,Goa,"PLFS Year (Jul - Jun), 2022",Urban,All Ages,Female,24.1,21,12.7
India,Goa,"PLFS Year (Jul - Jun), 2022",Urban,All Ages,Persons,42.5,38.8,8.7
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-29 years,Male,61.1,49,19.8
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-29 years,Female,38.1,22.4,41.3
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-29 years,Persons,50.4,36.6,27.4
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-59 years,Male,82.6,76.2,7.8
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-59 years,Female,34.4,29.1,15.2
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-59 years,Persons,58.5,52.6,10
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15 years and above,Male,72.4,66.8,7.7
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15 years and above,Female,28.1,24,14.7
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15 years and above,Persons,50,45.1,9.7
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural + Urban,All Ages,Male,59.3,54.7,7.7
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural + Urban,All Ages,Female,23,19.6,14.7
India,Goa,"PLFS Year (Jul - Jun), 2022",Rural + Urban,All Ages,Persons,40.9,37,9.7
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural,15-29 years,Male,73.8,69.5,5.8
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural,15-29 years,Female,41.9,41,2.3
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural,15-29 years,Persons,58.2,55.5,4.6
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural,15-59 years,Male,88.2,86.3,2.1
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural,15-59 years,Female,58.9,58.5,0.7
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural,15-59 years,Persons,73.9,72.7,1.6
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural,15 years and above,Male,84.9,83.3,1.9
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural,15 years and above,Female,54.5,54.2,0.6
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural,15 years and above,Persons,69.9,68.9,1.4
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural,All Ages,Male,64,62.8,1.9
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural,All Ages,Female,41.5,41.3,0.6
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural,All Ages,Persons,53,52.2,1.4
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Urban,15-29 years,Male,66.9,63.9,4.6
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Urban,15-29 years,Female,21.7,19.4,10.7
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Urban,15-29 years,Persons,46.1,43.4,5.9
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Urban,15-59 years,Male,84.4,82.7,1.9
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Urban,15-59 years,Female,29.5,28.5,3.5
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Urban,15-59 years,Persons,58.2,56.9,2.3
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Urban,15 years and above,Male,78.3,76.9,1.9
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Urban,15 years and above,Female,26.4,25.5,3.4
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Urban,15 years and above,Persons,53.3,52.1,2.2
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Urban,All Ages,Male,60.8,59.7,1.9
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Urban,All Ages,Female,20.8,20.1,3.3
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Urban,All Ages,Persons,41.6,40.7,2.2
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-29 years,Male,70.8,67,5.3
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-29 years,Female,33.5,31.9,4.5
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-29 years,Persons,52.9,50.3,5.1
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-59 years,Male,86.5,84.7,2.1
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-59 years,Female,46.2,45.5,1.4
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-59 years,Persons,67,65.8,1.8
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15 years and above,Male,82,80.4,1.9
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15 years and above,Female,42.3,41.7,1.3
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15 years and above,Persons,62.6,61.5,1.7
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural + Urban,All Ages,Male,62.6,61.4,1.9
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural + Urban,All Ages,Female,32.7,32.2,1.3
India,Gujarat,"PLFS Year (Jul - Jun), 2022",Rural + Urban,All Ages,Persons,48.1,47.2,1.7
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural,15-29 years,Male,59.2,49.4,16.5
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural,15-29 years,Female,10.2,8.4,17.3
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural,15-29 years,Persons,36.6,30.6,16.6
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural,15-59 years,Male,79,73.4,7
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural,15-59 years,Female,24,23.2,3.1
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural,15-59 years,Persons,52.4,49.2,6.2
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural,15 years and above,Male,73,68.1,6.6
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural,15 years and above,Female,21.1,20.5,3
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural,15 years and above,Persons,47.5,44.7,5.8
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural,All Ages,Male,53.6,50.1,6.6
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural,All Ages,Female,16.1,15.6,3
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural,All Ages,Persons,35.5,33.4,5.8
India,Haryana,"PLFS Year (Jul - Jun), 2022",Urban,15-29 years,Male,54.3,44.8,17.4
India,Haryana,"PLFS Year (Jul - Jun), 2022",Urban,15-29 years,Female,17.6,12.9,26.5
India,Haryana,"PLFS Year (Jul - Jun), 2022",Urban,15-29 years,Persons,38.6,31.2,19.2
India,Haryana,"PLFS Year (Jul - Jun), 2022",Urban,15-59 years,Male,79.1,74.1,6.3
India,Haryana,"PLFS Year (Jul - Jun), 2022",Urban,15-59 years,Female,22.5,20.6,8.5
India,Haryana,"PLFS Year (Jul - Jun), 2022",Urban,15-59 years,Persons,53.4,49.9,6.7
India,Haryana,"PLFS Year (Jul - Jun), 2022",Urban,15 years and above,Male,72.9,68.4,6.1
India,Haryana,"PLFS Year (Jul - Jun), 2022",Urban,15 years and above,Female,19.9,18.2,8.3
India,Haryana,"PLFS Year (Jul - Jun), 2022",Urban,15 years and above,Persons,48.5,45.3,6.5
India,Haryana,"PLFS Year (Jul - Jun), 2022",Urban,All Ages,Male,56.9,53.4,6.1
India,Haryana,"PLFS Year (Jul - Jun), 2022",Urban,All Ages,Female,15.6,14.3,8.2
India,Haryana,"PLFS Year (Jul - Jun), 2022",Urban,All Ages,Persons,37.9,35.5,6.5
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-29 years,Male,57.5,47.9,16.8
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-29 years,Female,12.5,9.8,21.3
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-29 years,Persons,37.3,30.8,17.5
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-59 years,Male,79,73.7,6.8
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-59 years,Female,23.5,22.3,4.9
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-59 years,Persons,52.8,49.4,6.4
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15 years and above,Male,72.9,68.2,6.4
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15 years and above,Female,20.7,19.7,4.7
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15 years and above,Persons,47.9,44.9,6.1
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural + Urban,All Ages,Male,54.8,51.3,6.4
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural + Urban,All Ages,Female,15.9,15.2,4.7
India,Haryana,"PLFS Year (Jul - Jun), 2022",Rural + Urban,All Ages,Persons,36.3,34.1,6.1
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural,15-29 years,Male,67.7,60.4,10.8
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural,15-29 years,Female,61.8,55.4,10.4
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural,15-29 years,Persons,64.9,58,10.6
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural,15-59 years,Male,86.9,83.4,4
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural,15-59 years,Female,80,76.5,4.3
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural,15-59 years,Persons,83.4,79.9,4.1
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural,15 years and above,Male,83.8,81.1,3.3
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural,15 years and above,Female,74.8,72,3.8
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural,15 years and above,Persons,79.2,76.5,3.5
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural,All Ages,Male,65.4,63.3,3.3
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural,All Ages,Female,60.6,58.3,3.8
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural,All Ages,Persons,63,60.8,3.5
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Urban,15-29 years,Male,55.5,46.3,16.5
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Urban,15-29 years,Female,36.5,17.8,51.2
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Urban,15-29 years,Persons,45.2,30.8,31.7
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Urban,15-59 years,Male,80.2,75.8,5.5
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Urban,15-59 years,Female,47,32.4,31.1
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Urban,15-59 years,Persons,63.6,54.1,15
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Urban,15 years and above,Male,76.6,72.7,5.1
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Urban,15 years and above,Female,40.7,28.5,29.9
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Urban,15 years and above,Persons,58,49.8,14.1
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Urban,All Ages,Male,58.5,54.8,6.3
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Urban,All Ages,Female,33.8,23.5,30.6
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Urban,All Ages,Persons,46.3,39.3,15.1
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-29 years,Male,66.4,58.8,11.4
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-29 years,Female,58.4,50.3,13.9
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-29 years,Persons,62.4,54.6,12.5
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-59 years,Male,86.2,82.6,4.1
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-59 years,Female,76.6,72,6
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-59 years,Persons,81.3,77.2,5
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15 years and above,Male,83.1,80.3,3.4
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15 years and above,Female,71.4,67.6,5.3
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15 years and above,Persons,77.1,73.8,4.3
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural + Urban,All Ages,Male,64.7,62.4,3.5
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural + Urban,All Ages,Female,57.9,54.8,5.3
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2022",Rural + Urban,All Ages,Persons,61.3,58.6,4.4
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural,15-29 years,Male,56.7,51.5,9.1
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural,15-29 years,Female,42.1,36.3,14
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural,15-29 years,Persons,49.4,43.9,11.2
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural,15-59 years,Male,81.4,79.2,2.7
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural,15-59 years,Female,58.6,55.6,5.1
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural,15-59 years,Persons,70,67.4,3.7
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural,15 years and above,Male,77.5,75.6,2.4
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural,15 years and above,Female,55.1,52.5,4.7
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural,15 years and above,Persons,66.4,64.2,3.4
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural,All Ages,Male,56.2,54.8,2.4
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural,All Ages,Female,40.8,38.9,4.7
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural,All Ages,Persons,48.7,47,3.4
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Urban,15-29 years,Male,52.2,42.3,18.9
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Urban,15-29 years,Female,25.4,12.1,52.6
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Urban,15-29 years,Persons,39.7,28.2,29
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Urban,15-59 years,Male,79.4,74.7,5.9
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Urban,15-59 years,Female,31.4,23.8,24.2
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Urban,15-59 years,Persons,56.2,50.1,10.8
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Urban,15 years and above,Male,72.1,68.2,5.5
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Urban,15 years and above,Female,27.4,21,23.5
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Urban,15 years and above,Persons,50.5,45.4,10.2
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Urban,All Ages,Male,56.2,53.1,5.5
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Urban,All Ages,Female,22,16.8,23.5
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Urban,All Ages,Persons,39.9,35.9,10.2
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-29 years,Male,55.9,49.9,10.7
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-29 years,Female,39.5,32.4,18
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-29 years,Persons,47.7,41.2,13.7
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-59 years,Male,81.1,78.4,3.3
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-59 years,Female,53.8,50,7
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-59 years,Persons,67.6,64.3,4.8
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15 years and above,Male,76.5,74.2,3
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15 years and above,Female,50.2,46.9,6.5
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15 years and above,Persons,63.5,60.7,4.4
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural + Urban,All Ages,Male,56.2,54.5,3
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural + Urban,All Ages,Female,37.7,35.3,6.5
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2022",Rural + Urban,All Ages,Persons,47.2,45.1,4.4
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural,15-29 years,Male,68.1,65.2,4.2
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural,15-29 years,Female,39.7,39.6,0.2
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural,15-29 years,Persons,53,51.6,2.6
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural,15-59 years,Male,84.5,83.1,1.7
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural,15-59 years,Female,56.7,56.6,0.1
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural,15-59 years,Persons,70.1,69.4,1
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural,15 years and above,Male,80.7,79.5,1.5
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural,15 years and above,Female,52.4,52.3,0.1
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural,15 years and above,Persons,66.2,65.6,0.9
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural,All Ages,Male,53.4,52.6,1.5
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural,All Ages,Female,35.9,35.8,0.1
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural,All Ages,Persons,44.6,44.1,0.9
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Urban,15-29 years,Male,49.8,40.4,19
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Urban,15-29 years,Female,12.4,9.5,23
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Urban,15-29 years,Persons,31.6,25.4,19.8
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Urban,15-59 years,Male,75.3,70.4,6.5
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Urban,15-59 years,Female,18.7,17.4,6.7
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Urban,15-59 years,Persons,47.3,44.2,6.6
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Urban,15 years and above,Male,70,65.6,6.2
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Urban,15 years and above,Female,16.8,15.7,6.6
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Urban,15 years and above,Persons,43.7,40.9,6.3
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Urban,All Ages,Male,51.4,48.2,6.2
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Urban,All Ages,Female,13.1,12.3,6.6
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Urban,All Ages,Persons,33.1,31,6.3
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-29 years,Male,64.4,60.2,6.5
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-29 years,Female,34.9,34.4,1.6
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-29 years,Persons,49,46.7,4.7
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-59 years,Male,82.7,80.5,2.6
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-59 years,Female,49.5,49.3,0.6
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15-59 years,Persons,65.7,64.5,1.8
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15 years and above,Male,78.6,76.8,2.3
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15 years and above,Female,45.8,45.5,0.6
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural + Urban,15 years and above,Persons,61.9,60.9,1.7
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural + Urban,All Ages,Male,53,51.8,2.3
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural + Urban,All Ages,Female,32.1,31.9,0.6
India,Jharkhand,"PLFS Year (Jul - Jun), 2022",Rural + Urban,All Ages,Persons,42.6,41.9,1.7
India,Karnataka,"PLFS Year (Jul - Jun), 2022",Rural,15-29 years,Male,63.9,60.3,5.6
India,Karnataka,"PLFS Year (Jul - Jun), 2022",Rural,15-29 years,Female,23.7,22,7.3
India,Karnataka,"PLFS Year (Jul - Jun), 2022",Rural,15-29 years,Persons,45.2,42.5,6
India,Karnataka,"PLFS Year (Jul - Jun), 2022",Rural,15-59 years,Male,83.4,81.9,1.9
India,Karnataka,"PLFS Year (Jul - Jun), 2022",Rural,15-59 years,Female,48.6,47.9,1.3
India,Karnataka,"PLFS Year (Jul - Jun), 2022",Rural,15-59 years,Persons,66.2,65.1,1.7
India,Karnataka,"PLFS Year (Jul - Jun), 2022",Rural,15 years and above,Male,77.2,75.9,1.7
India,Karnataka,"PLFS Year (Jul - Jun), 2022",Rural,15 years and above,Female,42.5,42,1.3
India,Karnataka,"PLFS Year (Jul - Jun), 2022",Rural,15 years and above,Persons,59.9,59,1.5
India,Karnataka,"PLFS Year (Jul - Jun), 2022",Rural,All Ages,Male,59.7,58.7,1.7
India,Karnataka,"PLFS Year (Jul - Jun), 2022",Rural,All Ages,Female,33.3,32.9,1.3
India,Karnataka,"PLFS Year (Jul - Jun), 2022",Rural,All Ages,Persons,46.6,45.9,1.5
India,Karnataka,"PLFS Year (Jul - Jun), 2022",Urban,15-29 years,Male,56.3,49.7,11.8
India,Karnataka,"PLFS Year (Jul - Jun), 2022",Urban,15-29 years,Female,28.1,24,14.3
India,Karnataka,"PLFS Year (Jul - Jun), 2022",Urban,15-29 years,Persons,42.8,37.4,12.6
India,Karnataka,"PLFS Year (Jul - Jun), 2022",Urban,15-59 years,Male,79.1,76,3.9
India,Karnataka,"PLFS Year (Jul - Jun), 2022",Urban,15-59 years,Female,34.2,32.4,5.2
India,Karnataka,"PLFS Year (Jul - Jun), 2022",Urban,15-59 years,Persons,57.3,54.9,4.3
India,Karnataka,"PLFS Year (Jul - Jun), 2022",Urban,15 years and above,Male,72.6,69.8,3.8
