Country,Year,Gender,Type Of Residence,Type Of Technical Training,"Estimated Persons (UOM:Number), Scaling Factor:1","Percentage Distribution (UOM:%(Percentage)), Scaling Factor:1","Sample Persons (UOM:Number), Scaling Factor:1"
India,"PLFS Year (Jul - Jun), 2023",Female,Urban,Vocational/Technical Training Received_Other than Formal_Others,,1.5,404
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,Vocational/Technical Training Received_Other than Formal_Others,,1.6,616
India,"PLFS Year (Jul - Jun), 2023",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Others,,1.6,1020
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,Vocational/Technical Training Received_Other than Formal_All,,30.0,9780
India,"PLFS Year (Jul - Jun), 2023",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_All,,28.2,15559
India,"PLFS Year (Jul - Jun), 2023",Persons,Rural,Vocational/Technical Training Received_Other than Formal_All,,22.9,15028
India,"PLFS Year (Jul - Jun), 2023",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_All,,13.9,7516
India,"PLFS Year (Jul - Jun), 2023",Female,Urban,Vocational/Technical Training Received_Other than Formal_All,,9.7,2268
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,Vocational/Technical Training Received_Other than Formal_All,,15.6,5248
India,"PLFS Year (Jul - Jun), 2023",Persons,Urban,Vocational/Technical Training Received_Other than Formal_All,,17.2,8047
India,"PLFS Year (Jul - Jun), 2023",Male,Urban,Vocational/Technical Training Received_Other than Formal_All,,24.0,5779
India,"PLFS Year (Jul - Jun), 2023",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_All,,21.2,23075
India,"PLFS Year (Jul - Jun), 2023",Female,Rural+Urban,Vocational/Technical Training Received_Formal & Other than Formal,,18.9,10394
India,"PLFS Year (Jul - Jun), 2023",Persons,Rural,Vocational/Technical Training Received_Formal & Other than Formal,,26.8,17607
India,"PLFS Year (Jul - Jun), 2023",Male,Urban,Vocational/Technical Training Received_Formal & Other than Formal,,30.5,7327
India,"PLFS Year (Jul - Jun), 2023",Persons,Urban,Vocational/Technical Training Received_Formal & Other than Formal,,24.3,11231
