Country,Year,Gender,Type Of Residence,Type Of Technical Training,"Estimated Persons (UOM:Number), Scaling Factor:1","Percentage Distribution (UOM:%(Percentage)), Scaling Factor:1","Sample Persons (UOM:Number), Scaling Factor:1"
India,"PLFS Year (Jul - Jun), 2021",Male,Urban,Did not Receive Vocational/ Technical Training,349564.0,77.0,20020
India,"PLFS Year (Jul - Jun), 2021",Female,Rural+Urban,Did not Receive Vocational/ Technical Training,1336043.0,89.5,49761
India,"PLFS Year (Jul - Jun), 2021",Female,Rural,Did not Receive Vocational/ Technical Training,979112.0,90.3,29362
India,"PLFS Year (Jul - Jun), 2020",Male,Urban,Vocational/Technical Training Received_Formal,32907.0,7.3,1701
India,"PLFS Year (Jul - Jun), 2020",Female,Urban,Vocational/Technical Training Received_Formal,26692.0,6.5,1346
India,"PLFS Year (Jul - Jun), 2020",Female,Rural,Vocational/Technical Training Received_Formal,27026.0,2.6,873
India,"PLFS Year (Jul - Jun), 2020",Persons,Urban,Vocational/Technical Training Received_Formal,59599.0,6.9,3047
India,"PLFS Year (Jul - Jun), 2020",Female,Rural+Urban,Vocational/Technical Training Received_Formal,53718.0,3.7,2219
India,"PLFS Year (Jul - Jun), 2020",Persons,Rural+Urban,Vocational/Technical Training Received_Formal,123578.0,4.1,5131
India,"PLFS Year (Jul - Jun), 2020",Male,Rural,Vocational/Technical Training Received_Formal,36953.0,3.4,1211
India,"PLFS Year (Jul - Jun), 2020",Male,Rural+Urban,Vocational/Technical Training Received_Formal,69860.0,4.5,2912
India,"PLFS Year (Jul - Jun), 2020",Persons,Rural,Vocational/Technical Training Received_Formal,63980.0,3.0,2084
India,"PLFS Year (Jul - Jun), 2020",Female,Rural,Vocational/Technical Training Received_Other than Formal_Hereditary,21412.0,2.1,621
India,"PLFS Year (Jul - Jun), 2020",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,54019.0,3.5,1561
India,"PLFS Year (Jul - Jun), 2020",Male,Rural,Vocational/Technical Training Received_Other than Formal_Hereditary,47713.0,4.3,1274
India,"PLFS Year (Jul - Jun), 2020",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Hereditary,69125.0,3.3,1895
India,"PLFS Year (Jul - Jun), 2020",Male,Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,6307.0,1.4,287
India,"PLFS Year (Jul - Jun), 2020",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,23252.0,1.6,737
India,"PLFS Year (Jul - Jun), 2020",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,8146.0,0.9,403
India,"PLFS Year (Jul - Jun), 2020",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,77271.0,2.6,2298
India,"PLFS Year (Jul - Jun), 2020",Female,Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,1839.0,0.4,116
India,"PLFS Year (Jul - Jun), 2020",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,54371.0,3.5,1817
India,"PLFS Year (Jul - Jun), 2020",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Self-Learning,62261.0,2.9,1747
India,"PLFS Year (Jul - Jun), 2020",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,34014.0,2.4,1115
India,"PLFS Year (Jul - Jun), 2020",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,26124.0,3.0,1185
India,"PLFS Year (Jul - Jun), 2020",Female,Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,10265.0,2.5,449
India,"PLFS Year (Jul - Jun), 2020",Male,Rural,Vocational/Technical Training Received_Other than Formal_Self-Learning,38512.0,3.5,1081
India,"PLFS Year (Jul - Jun), 2020",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,88385.0,3.0,2932
India,"PLFS Year (Jul - Jun), 2020",Male,Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,15859.0,3.5,736
India,"PLFS Year (Jul - Jun), 2020",Female,Rural,Vocational/Technical Training Received_Other than Formal_Self-Learning,23749.0,2.3,666
India,"PLFS Year (Jul - Jun), 2020",Female,Rural,Vocational/Technical Training Received_Other than Formal_Learning on the Job,12190.0,1.2,364
India,"PLFS Year (Jul - Jun), 2020",Male,Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,34250.0,7.6,1736
India,"PLFS Year (Jul - Jun), 2020",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,20809.0,1.5,766
India,"PLFS Year (Jul - Jun), 2020",Female,Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,8619.0,2.1,402
India,"PLFS Year (Jul - Jun), 2020",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Learning on the Job,69160.0,3.3,2168
India,"PLFS Year (Jul - Jun), 2020",Male,Rural,Vocational/Technical Training Received_Other than Formal_Learning on the Job,56970.0,5.2,1804
India,"PLFS Year (Jul - Jun), 2020",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,112029.0,3.8,4306
India,"PLFS Year (Jul - Jun), 2020",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,91220.0,5.9,3540
India,"PLFS Year (Jul - Jun), 2020",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,42869.0,5.0,2138
India,"PLFS Year (Jul - Jun), 2020",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Others,9882.0,0.5,419
India,"PLFS Year (Jul - Jun), 2020",Male,Urban,Vocational/Technical Training Received_Other than Formal_Others,2341.0,0.5,168
India,"PLFS Year (Jul - Jun), 2020",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Others,7239.0,0.5,364
India,"PLFS Year (Jul - Jun), 2020",Female,Urban,Vocational/Technical Training Received_Other than Formal_Others,2207.0,0.5,150
India,"PLFS Year (Jul - Jun), 2020",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Others,4548.0,0.5,318
India,"PLFS Year (Jul - Jun), 2020",Female,Rural,Vocational/Technical Training Received_Other than Formal_Others,5033.0,0.5,214
India,"PLFS Year (Jul - Jun), 2020",Male,Rural,Vocational/Technical Training Received_Other than Formal_Others,4849.0,0.4,205
India,"PLFS Year (Jul - Jun), 2020",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Others,14429.0,0.5,737
India,"PLFS Year (Jul - Jun), 2020",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Others,7190.0,0.5,373
India,"PLFS Year (Jul - Jun), 2020",Persons,Rural,Vocational/Technical Training Received_Other than Formal_All,210427.0,9.9,6229
India,"PLFS Year (Jul - Jun), 2020",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_All,206800.0,13.3,7291
India,"PLFS Year (Jul - Jun), 2020",Male,Rural,Vocational/Technical Training Received_Other than Formal_All,148043.0,13.4,4364
India,"PLFS Year (Jul - Jun), 2020",Female,Urban,Vocational/Technical Training Received_Other than Formal_All,22930.0,5.6,1117
India,"PLFS Year (Jul - Jun), 2020",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_All,292114.0,9.8,10273
India,"PLFS Year (Jul - Jun), 2020",Male,Urban,Vocational/Technical Training Received_Other than Formal_All,58757.0,13.0,2927
India,"PLFS Year (Jul - Jun), 2020",Persons,Urban,Vocational/Technical Training Received_Other than Formal_All,81687.0,9.5,4044
India,"PLFS Year (Jul - Jun), 2020",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_All,85314.0,6.0,2982
India,"PLFS Year (Jul - Jun), 2020",Female,Rural,Vocational/Technical Training Received_Other than Formal_All,62384.0,6.1,1865
India,"PLFS Year (Jul - Jun), 2020",Male,Rural+Urban,Vocational/Technical Training Received_Formal & Other than Formal,276660.0,17.8,10203
India,"PLFS Year (Jul - Jun), 2020",Female,Rural,Vocational/Technical Training Received_Formal & Other than Formal,89411.0,8.8,2738
India,"PLFS Year (Jul - Jun), 2020",Female,Urban,Vocational/Technical Training Received_Formal & Other than Formal,49622.0,12.0,2463
India,"PLFS Year (Jul - Jun), 2020",Female,Rural+Urban,Vocational/Technical Training Received_Formal & Other than Formal,139032.0,9.7,5201
India,"PLFS Year (Jul - Jun), 2020",Male,Rural,Vocational/Technical Training Received_Formal & Other than Formal,184997.0,16.8,5575
India,"PLFS Year (Jul - Jun), 2020",Male,Urban,Vocational/Technical Training Received_Formal & Other than Formal,91664.0,20.3,4628
India,"PLFS Year (Jul - Jun), 2020",Persons,Rural,Vocational/Technical Training Received_Formal & Other than Formal,274407.0,12.9,8313
India,"PLFS Year (Jul - Jun), 2020",Persons,Rural+Urban,Vocational/Technical Training Received_Formal & Other than Formal,415692.0,13.9,15404
India,"PLFS Year (Jul - Jun), 2020",Persons,Urban,Vocational/Technical Training Received_Formal & Other than Formal,141285.0,16.4,7091
India,"PLFS Year (Jul - Jun), 2020",Persons,Rural+Urban,Did not Receive Vocational/ Technical Training,2570878.0,86.1,99393
India,"PLFS Year (Jul - Jun), 2020",Persons,Urban,Did not Receive Vocational/ Technical Training,722095.0,83.6,41397
India,"PLFS Year (Jul - Jun), 2020",Male,Rural,Did not Receive Vocational/ Technical Training,916638.0,83.2,29355
India,"PLFS Year (Jul - Jun), 2020",Female,Urban,Did not Receive Vocational/ Technical Training,362354.0,88.0,20587
India,"PLFS Year (Jul - Jun), 2020",Female,Rural+Urban,Did not Receive Vocational/ Technical Training,1294499.0,90.3,49228
India,"PLFS Year (Jul - Jun), 2020",Female,Rural,Did not Receive Vocational/ Technical Training,932145.0,91.2,28641
India,"PLFS Year (Jul - Jun), 2020",Male,Rural+Urban,Did not Receive Vocational/ Technical Training,1276379.0,82.2,50165
India,"PLFS Year (Jul - Jun), 2020",Male,Urban,Did not Receive Vocational/ Technical Training,359741.0,79.7,20810
India,"PLFS Year (Jul - Jun), 2020",Persons,Rural,Did not Receive Vocational/ Technical Training,1848782.0,87.1,57996
India,"PLFS Year (Jul - Jun), 2019",Persons,Urban,Vocational/Technical Training Received_Formal,62468.0,6.8,3107
India,"PLFS Year (Jul - Jun), 2019",Persons,Rural+Urban,Vocational/Technical Training Received_Formal,122102.0,4.1,5216
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,Vocational/Technical Training Received_Formal,32581.0,3.1,1189
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,Vocational/Technical Training Received_Formal,27054.0,2.7,920
India,"PLFS Year (Jul - Jun), 2019",Female,Rural+Urban,Vocational/Technical Training Received_Formal,55811.0,3.8,2349
India,"PLFS Year (Jul - Jun), 2019",Male,Rural+Urban,Vocational/Technical Training Received_Formal,66292.0,4.3,2867
India,"PLFS Year (Jul - Jun), 2019",Persons,Rural,Vocational/Technical Training Received_Formal,59635.0,2.9,2109
India,"PLFS Year (Jul - Jun), 2019",Female,Urban,Vocational/Technical Training Received_Formal,28757.0,6.5,1429
India,"PLFS Year (Jul - Jun), 2019",Male,Urban,Vocational/Technical Training Received_Formal,33710.0,7.0,1678
India,"PLFS Year (Jul - Jun), 2019",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,67742.0,2.3,2109
India,"PLFS Year (Jul - Jun), 2019",Female,Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,2845.0,0.6,151
India,"PLFS Year (Jul - Jun), 2019",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,7483.0,0.8,386
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,Vocational/Technical Training Received_Other than Formal_Hereditary,19970.0,2.0,605
India,"PLFS Year (Jul - Jun), 2019",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Hereditary,60259.0,2.9,1723
India,"PLFS Year (Jul - Jun), 2019",Male,Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,4637.0,1.0,235
India,"PLFS Year (Jul - Jun), 2019",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,22816.0,1.6,756
India,"PLFS Year (Jul - Jun), 2019",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,44926.0,2.9,1353
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,Vocational/Technical Training Received_Other than Formal_Hereditary,40289.0,3.8,1118
India,"PLFS Year (Jul - Jun), 2019",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,63421.0,2.1,2257
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,Vocational/Technical Training Received_Other than Formal_Self-Learning,15240.0,1.5,469
India,"PLFS Year (Jul - Jun), 2019",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,19117.0,2.1,941
India,"PLFS Year (Jul - Jun), 2019",Female,Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,5814.0,1.3,327
India,"PLFS Year (Jul - Jun), 2019",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,42367.0,2.7,1461
India,"PLFS Year (Jul - Jun), 2019",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Self-Learning,44303.0,2.1,1316
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,Vocational/Technical Training Received_Other than Formal_Self-Learning,29063.0,2.7,847
India,"PLFS Year (Jul - Jun), 2019",Male,Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,13304.0,2.8,614
India,"PLFS Year (Jul - Jun), 2019",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,21054.0,1.4,796
India,"PLFS Year (Jul - Jun), 2019",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,15656.0,1.1,567
India,"PLFS Year (Jul - Jun), 2019",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Learning on the Job,52029.0,2.5,1626
India,"PLFS Year (Jul - Jun), 2019",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,39204.0,4.2,1710
India,"PLFS Year (Jul - Jun), 2019",Male,Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,31136.0,6.5,1395
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,Vocational/Technical Training Received_Other than Formal_Learning on the Job,44442.0,4.2,1374
India,"PLFS Year (Jul - Jun), 2019",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,75577.0,4.9,2769
India,"PLFS Year (Jul - Jun), 2019",Female,Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,8068.0,1.8,315
India,"PLFS Year (Jul - Jun), 2019",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,91233.0,3.0,3336
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,Vocational/Technical Training Received_Other than Formal_Learning on the Job,7588.0,0.7,252
India,"PLFS Year (Jul - Jun), 2019",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Others,14834.0,0.5,721
India,"PLFS Year (Jul - Jun), 2019",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Others,7656.0,0.5,366
India,"PLFS Year (Jul - Jun), 2019",Male,Urban,Vocational/Technical Training Received_Other than Formal_Others,2412.0,0.5,165
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,Vocational/Technical Training Received_Other than Formal_Others,5111.0,0.5,224
India,"PLFS Year (Jul - Jun), 2019",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Others,4957.0,0.5,307
India,"PLFS Year (Jul - Jun), 2019",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Others,9877.0,0.5,414
India,"PLFS Year (Jul - Jun), 2019",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Others,7178.0,0.5,355
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,Vocational/Technical Training Received_Other than Formal_Others,4767.0,0.4,190
India,"PLFS Year (Jul - Jun), 2019",Female,Urban,Vocational/Technical Training Received_Other than Formal_Others,2545.0,0.6,142
India,"PLFS Year (Jul - Jun), 2019",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_All,237230.0,7.9,8423
India,"PLFS Year (Jul - Jun), 2019",Persons,Urban,Vocational/Technical Training Received_Other than Formal_All,70761.0,7.7,3344
India,"PLFS Year (Jul - Jun), 2019",Persons,Rural,Vocational/Technical Training Received_Other than Formal_All,166469.0,8.0,5079
India,"PLFS Year (Jul - Jun), 2019",Male,Urban,Vocational/Technical Training Received_Other than Formal_All,51489.0,10.7,2409
India,"PLFS Year (Jul - Jun), 2019",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_All,170049.0,11.0,5938
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,Vocational/Technical Training Received_Other than Formal_All,118560.0,11.1,3529
India,"PLFS Year (Jul - Jun), 2019",Female,Urban,Vocational/Technical Training Received_Other than Formal_All,19272.0,4.3,935
India,"PLFS Year (Jul - Jun), 2019",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_All,67181.0,4.6,2485
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,Vocational/Technical Training Received_Other than Formal_All,47909.0,4.7,1550
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,Vocational/Technical Training Received_Formal & Other than Formal,151141.0,14.2,4718
India,"PLFS Year (Jul - Jun), 2019",Male,Rural+Urban,Vocational/Technical Training Received_Formal & Other than Formal,236340.0,15.3,8805
India,"PLFS Year (Jul - Jun), 2019",Male,Urban,Vocational/Technical Training Received_Formal & Other than Formal,85199.0,17.8,4087
India,"PLFS Year (Jul - Jun), 2019",Female,Rural+Urban,Vocational/Technical Training Received_Formal & Other than Formal,122992.0,8.4,4834
India,"PLFS Year (Jul - Jun), 2019",Persons,Rural,Vocational/Technical Training Received_Formal & Other than Formal,226104.0,10.9,7188
India,"PLFS Year (Jul - Jun), 2019",Persons,Rural+Urban,Vocational/Technical Training Received_Formal & Other than Formal,359332.0,12.0,13639
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,Vocational/Technical Training Received_Formal & Other than Formal,74963.0,7.4,2470
India,"PLFS Year (Jul - Jun), 2019",Persons,Urban,Vocational/Technical Training Received_Formal & Other than Formal,133228.0,14.4,6451
India,"PLFS Year (Jul - Jun), 2019",Female,Urban,Vocational/Technical Training Received_Formal & Other than Formal,48029.0,10.8,2364
India,"PLFS Year (Jul - Jun), 2019",Female,Rural+Urban,Did not Receive Vocational/ Technical Training,1335700.0,91.6,51242
India,"PLFS Year (Jul - Jun), 2019",Persons,Rural+Urban,Did not Receive Vocational/ Technical Training,2645820.0,88.0,103373
India,"PLFS Year (Jul - Jun), 2019",Persons,Urban,Did not Receive Vocational/ Technical Training,790065.0,85.6,43042
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,Did not Receive Vocational/ Technical Training,940165.0,92.6,29717
India,"PLFS Year (Jul - Jun), 2019",Female,Urban,Did not Receive Vocational/ Technical Training,395534.0,89.2,21525
India,"PLFS Year (Jul - Jun), 2019",Male,Rural+Urban,Did not Receive Vocational/ Technical Training,1310120.0,84.7,52131
India,"PLFS Year (Jul - Jun), 2019",Male,Urban,Did not Receive Vocational/ Technical Training,394531.0,82.2,21517
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,Did not Receive Vocational/ Technical Training,915589.0,85.8,30614
India,"PLFS Year (Jul - Jun), 2019",Persons,Rural,Did not Receive Vocational/ Technical Training,1855755.0,89.1,60331
India,"PLFS Year (Jul - Jun), 2018",Female,Rural+Urban,Vocational/Technical Training Received_Formal,35482.0,2.5,1693
India,"PLFS Year (Jul - Jun), 2018",Male,Rural+Urban,Vocational/Technical Training Received_Formal,47769.0,3.2,2092
India,"PLFS Year (Jul - Jun), 2018",Female,Rural,Vocational/Technical Training Received_Formal,15172.0,1.5,648
India,"PLFS Year (Jul - Jun), 2018",Male,Urban,Vocational/Technical Training Received_Formal,23174.0,4.8,1238
India,"PLFS Year (Jul - Jun), 2018",Persons,Rural+Urban,Vocational/Technical Training Received_Formal,83251.0,2.8,3785
India,"PLFS Year (Jul - Jun), 2018",Persons,Rural,Vocational/Technical Training Received_Formal,39766.0,2.0,1502
India,"PLFS Year (Jul - Jun), 2018",Persons,Urban,Vocational/Technical Training Received_Formal,43484.0,4.7,2283
India,"PLFS Year (Jul - Jun), 2018",Male,Rural,Vocational/Technical Training Received_Formal,24595.0,2.4,854
India,"PLFS Year (Jul - Jun), 2018",Female,Urban,Vocational/Technical Training Received_Formal,20310.0,4.6,1045
India,"PLFS Year (Jul - Jun), 2018",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,5780.0,0.6,356
India,"PLFS Year (Jul - Jun), 2018",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,37894.0,1.3,1415
India,"PLFS Year (Jul - Jun), 2018",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Hereditary,32114.0,1.6,1059
India,"PLFS Year (Jul - Jun), 2018",Male,Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,4106.0,0.9,218
India,"PLFS Year (Jul - Jun), 2018",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,27200.0,1.8,906
India,"PLFS Year (Jul - Jun), 2018",Male,Rural,Vocational/Technical Training Received_Other than Formal_Hereditary,23093.0,2.2,688
India,"PLFS Year (Jul - Jun), 2018",Female,Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,1674.0,0.4,138
India,"PLFS Year (Jul - Jun), 2018",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,10694.0,0.7,509
India,"PLFS Year (Jul - Jun), 2018",Female,Rural,Vocational/Technical Training Received_Other than Formal_Hereditary,9020.0,0.9,371
India,"PLFS Year (Jul - Jun), 2018",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,17926.0,1.9,846
India,"PLFS Year (Jul - Jun), 2018",Male,Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,12404.0,2.6,551
India,"PLFS Year (Jul - Jun), 2018",Female,Rural,Vocational/Technical Training Received_Other than Formal_Self-Learning,10106.0,1.0,413
India,"PLFS Year (Jul - Jun), 2018",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Self-Learning,31998.0,1.6,1212
India,"PLFS Year (Jul - Jun), 2018",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,34297.0,2.3,1350
India,"PLFS Year (Jul - Jun), 2018",Male,Rural,Vocational/Technical Training Received_Other than Formal_Self-Learning,21893.0,2.1,799
India,"PLFS Year (Jul - Jun), 2018",Female,Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,5522.0,1.3,295
India,"PLFS Year (Jul - Jun), 2018",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,49925.0,1.7,2058
India,"PLFS Year (Jul - Jun), 2018",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,15628.0,1.1,708
India,"PLFS Year (Jul - Jun), 2018",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,73990.0,2.5,3037
India,"PLFS Year (Jul - Jun), 2018",Male,Rural,Vocational/Technical Training Received_Other than Formal_Learning on the Job,33271.0,3.2,1217
India,"PLFS Year (Jul - Jun), 2018",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,13852.0,1.0,548
India,"PLFS Year (Jul - Jun), 2018",Female,Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,5847.0,1.3,297
India,"PLFS Year (Jul - Jun), 2018",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,32714.0,3.6,1569
India,"PLFS Year (Jul - Jun), 2018",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Learning on the Job,41276.0,2.0,1468
India,"PLFS Year (Jul - Jun), 2018",Male,Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,26867.0,5.6,1272
India,"PLFS Year (Jul - Jun), 2018",Female,Rural,Vocational/Technical Training Received_Other than Formal_Learning on the Job,8005.0,0.8,251
India,"PLFS Year (Jul - Jun), 2018",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,60138.0,4.0,2489
India,"PLFS Year (Jul - Jun), 2018",Male,Urban,Vocational/Technical Training Received_Other than Formal_Others,5230.0,1.1,312
India,"PLFS Year (Jul - Jun), 2018",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Others,12730.0,0.9,670
India,"PLFS Year (Jul - Jun), 2018",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Others,12077.0,0.8,664
India,"PLFS Year (Jul - Jun), 2018",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Others,24806.0,0.8,1334
India,"PLFS Year (Jul - Jun), 2018",Male,Rural,Vocational/Technical Training Received_Other than Formal_Others,6847.0,0.7,352
India,"PLFS Year (Jul - Jun), 2018",Female,Urban,Vocational/Technical Training Received_Other than Formal_Others,5472.0,1.2,297
India,"PLFS Year (Jul - Jun), 2018",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Others,10702.0,1.2,609
India,"PLFS Year (Jul - Jun), 2018",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Others,14105.0,0.7,725
India,"PLFS Year (Jul - Jun), 2018",Female,Rural,Vocational/Technical Training Received_Other than Formal_Others,7257.0,0.7,373
India,"PLFS Year (Jul - Jun), 2018",Male,Rural,Vocational/Technical Training Received_Other than Formal_All,85104.0,8.3,3056
India,"PLFS Year (Jul - Jun), 2018",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_All,186614.0,6.4,7844
India,"PLFS Year (Jul - Jun), 2018",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_All,52903.0,3.7,2435
India,"PLFS Year (Jul - Jun), 2018",Female,Urban,Vocational/Technical Training Received_Other than Formal_All,18515.0,4.2,1027
India,"PLFS Year (Jul - Jun), 2018",Female,Rural,Vocational/Technical Training Received_Other than Formal_All,34388.0,3.5,1408
India,"PLFS Year (Jul - Jun), 2018",Persons,Urban,Vocational/Technical Training Received_Other than Formal_All,67122.0,7.3,3380
India,"PLFS Year (Jul - Jun), 2018",Male,Urban,Vocational/Technical Training Received_Other than Formal_All,48607.0,10.1,2353
India,"PLFS Year (Jul - Jun), 2018",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_All,133711.0,8.9,5409
India,"PLFS Year (Jul - Jun), 2018",Persons,Rural,Vocational/Technical Training Received_Other than Formal_All,119492.0,5.9,4464
India,"PLFS Year (Jul - Jun), 2018",Female,Urban,Vocational/Technical Training Received_Formal & Other than Formal,38825.0,8.8,2072
India,"PLFS Year (Jul - Jun), 2018",Male,Rural,Vocational/Technical Training Received_Formal & Other than Formal,109699.0,10.7,3910
India,"PLFS Year (Jul - Jun), 2018",Persons,Urban,Vocational/Technical Training Received_Formal & Other than Formal,110607.0,12.0,5663
India,"PLFS Year (Jul - Jun), 2018",Persons,Rural,Vocational/Technical Training Received_Formal & Other than Formal,159259.0,7.9,5966
India,"PLFS Year (Jul - Jun), 2018",Persons,Rural+Urban,Vocational/Technical Training Received_Formal & Other than Formal,269865.0,9.2,11629
India,"PLFS Year (Jul - Jun), 2018",Female,Rural+Urban,Vocational/Technical Training Received_Formal & Other than Formal,88385.0,6.2,4128
India,"PLFS Year (Jul - Jun), 2018",Male,Urban,Vocational/Technical Training Received_Formal & Other than Formal,71781.0,15.0,3591
India,"PLFS Year (Jul - Jun), 2018",Female,Rural,Vocational/Technical Training Received_Formal & Other than Formal,49560.0,5.0,2056
India,"PLFS Year (Jul - Jun), 2018",Male,Rural+Urban,Vocational/Technical Training Received_Formal & Other than Formal,181480.0,12.0,7501
India,"PLFS Year (Jul - Jun), 2018",Persons,Rural+Urban,Did not Receive Vocational/ Technical Training,2666271.0,90.8,107936
