Country,State,Year,Age Group,Type Of Area,Gender,"Unemployment Rate (Ur) (UOM:%(Percentage)), Scaling Factor:1"
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",15-59,Rural+Urban,Person,4.4
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Male,3.8
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Female,2.9
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Person,3.4
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",15 years and above,Urban,Male,5.5
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",15 years and above,Urban,Female,6.9
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",15 years and above,Urban,Person,5.9
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural+Urban,Male,4.3
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural+Urban,Female,3.7
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural+Urban,Person,4.1
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",all ages,Rural,Male,3.8
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",all ages,Rural,Female,2.9
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",all ages,Rural,Person,3.4
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",all ages,Urban,Male,5.5
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",all ages,Urban,Female,6.9
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",all ages,Urban,Person,5.9
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",all ages,Rural+Urban,Male,4.3
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",all ages,Rural+Urban,Female,3.7
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",all ages,Rural+Urban,Person,4.1
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Male,20.0
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Female,14.3
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Person,17.4
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15-29,Urban,Male,34.2
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15-29,Urban,Female,53.8
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15-29,Urban,Person,43.0
