Country,State,Year,Type Of Areas,Gender,"Rate Of Unemployment  (UOM:Ratio), Scaling Factor:1"
India,Bihar,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,11.76
India,Bihar,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,31.76
India,Bihar,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,11.16
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",rural,Male,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",rural,Female,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",rural,Person,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",urban,Male,7.56
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",urban,Female,0.19
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",urban,Person,5.99
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,7.56
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,0.19
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,5.99
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",rural,Male,11.68
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",rural,Female,21.65
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",rural,Person,10.8
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",urban,Male,9.53
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",urban,Female,15.43
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",urban,Person,8.61
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,8.81
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,15.16
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,7.93
India,Delhi,"PLFS Year (Jul - Jun), 2023",rural,Male,102.12
India,Delhi,"PLFS Year (Jul - Jun), 2023",rural,Female,3.09
India,Delhi,"PLFS Year (Jul - Jun), 2023",rural,Person,18.05
India,Delhi,"PLFS Year (Jul - Jun), 2023",urban,Male,40.46
India,Delhi,"PLFS Year (Jul - Jun), 2023",urban,Female,23.53
India,Delhi,"PLFS Year (Jul - Jun), 2023",urban,Person,36.48
India,Delhi,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,39.47
India,Delhi,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,23.49
India,Delhi,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,34.85
India,Goa,"PLFS Year (Jul - Jun), 2023",rural,Male,61.73
India,Goa,"PLFS Year (Jul - Jun), 2023",rural,Female,44.31
India,Goa,"PLFS Year (Jul - Jun), 2023",rural,Person,56.72
India,Goa,"PLFS Year (Jul - Jun), 2023",urban,Male,26.94
India,Goa,"PLFS Year (Jul - Jun), 2023",urban,Female,17.73
India,Goa,"PLFS Year (Jul - Jun), 2023",urban,Person,14.72
India,Goa,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,41.64
India,Goa,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,17.46
India,Goa,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,28.15
India,Gujarat,"PLFS Year (Jul - Jun), 2023",rural,Male,21.62
India,Gujarat,"PLFS Year (Jul - Jun), 2023",rural,Female,45.59
India,Gujarat,"PLFS Year (Jul - Jun), 2023",rural,Person,23.95
India,Gujarat,"PLFS Year (Jul - Jun), 2023",urban,Male,7.78
India,Gujarat,"PLFS Year (Jul - Jun), 2023",urban,Female,23.81
India,Gujarat,"PLFS Year (Jul - Jun), 2023",urban,Person,7.35
India,Gujarat,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,10.61
India,Gujarat,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,20.66
India,Gujarat,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,10.76
India,Haryana,"PLFS Year (Jul - Jun), 2023",rural,Male,20.74
India,Haryana,"PLFS Year (Jul - Jun), 2023",rural,Female,42.9
India,Haryana,"PLFS Year (Jul - Jun), 2023",rural,Person,18.85
India,Haryana,"PLFS Year (Jul - Jun), 2023",urban,Male,11.6
India,Haryana,"PLFS Year (Jul - Jun), 2023",urban,Female,30.08
India,Haryana,"PLFS Year (Jul - Jun), 2023",urban,Person,13.23
India,Haryana,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,13.7
India,Haryana,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,27.35
India,Haryana,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,12.71
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023",rural,Male,13.11
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023",rural,Female,14.19
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023",rural,Person,8.69
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023",urban,Male,25.66
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023",urban,Female,6.75
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023",urban,Person,8.86
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,11.97
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,12.21
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,7.67
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2023",rural,Male,18.18
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2023",rural,Female,11.66
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2023",rural,Person,12.04
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2023",urban,Male,6.18
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2023",urban,Female,4.73
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2023",urban,Person,5.12
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,14.86
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,7.7
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,8.85
India,Jharkhand,"PLFS Year (Jul - Jun), 2023",rural,Male,25.39
India,Jharkhand,"PLFS Year (Jul - Jun), 2023",rural,Female,76.71
India,Jharkhand,"PLFS Year (Jul - Jun), 2023",rural,Person,24.98
India,Jharkhand,"PLFS Year (Jul - Jun), 2023",urban,Male,16.15
India,Jharkhand,"PLFS Year (Jul - Jun), 2023",urban,Female,25.75
India,Jharkhand,"PLFS Year (Jul - Jun), 2023",urban,Person,16.53
India,Jharkhand,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,15.75
India,Jharkhand,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,33.99
India,Jharkhand,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,15.83
India,Karnataka,"PLFS Year (Jul - Jun), 2023",rural,Male,20.95
India,Karnataka,"PLFS Year (Jul - Jun), 2023",rural,Female,49.05
India,Karnataka,"PLFS Year (Jul - Jun), 2023",rural,Person,21.57
India,Karnataka,"PLFS Year (Jul - Jun), 2023",urban,Male,10.52
India,Karnataka,"PLFS Year (Jul - Jun), 2023",urban,Female,25.4
India,Karnataka,"PLFS Year (Jul - Jun), 2023",urban,Person,13.68
India,Karnataka,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,11.51
India,Karnataka,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,23.59
India,Karnataka,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,12.12
India,Kerala,"PLFS Year (Jul - Jun), 2023",rural,Male,9.11
India,Kerala,"PLFS Year (Jul - Jun), 2023",rural,Female,11.47
India,Kerala,"PLFS Year (Jul - Jun), 2023",rural,Person,7.79
India,Kerala,"PLFS Year (Jul - Jun), 2023",urban,Male,8.86
India,Kerala,"PLFS Year (Jul - Jun), 2023",urban,Female,8.63
India,Kerala,"PLFS Year (Jul - Jun), 2023",urban,Person,6.07
India,Kerala,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,6.38
India,Kerala,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,7.44
India,Kerala,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,5.07
India,Ladakh,"PLFS Year (Jul - Jun), 2023",rural,Male,50.92
India,Ladakh,"PLFS Year (Jul - Jun), 2023",rural,Female,59.56
India,Ladakh,"PLFS Year (Jul - Jun), 2023",rural,Person,52.93
India,Ladakh,"PLFS Year (Jul - Jun), 2023",urban,Male,13.47
India,Ladakh,"PLFS Year (Jul - Jun), 2023",urban,Female,16.79
India,Ladakh,"PLFS Year (Jul - Jun), 2023",urban,Person,25.87
India,Ladakh,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,42.25
India,Ladakh,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,45.45
India,Ladakh,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,40.46
India,Lakshadweep,"PLFS Year (Jul - Jun), 2023",rural,Male,7.96
India,Lakshadweep,"PLFS Year (Jul - Jun), 2023",rural,Female,78.88
India,Lakshadweep,"PLFS Year (Jul - Jun), 2023",rural,Person,47.42
India,Lakshadweep,"PLFS Year (Jul - Jun), 2023",urban,Male,43.29
India,Lakshadweep,"PLFS Year (Jul - Jun), 2023",urban,Female,2.01
India,Lakshadweep,"PLFS Year (Jul - Jun), 2023",urban,Person,33.08
India,Lakshadweep,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,36.03
India,Lakshadweep,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,32.14
India,Lakshadweep,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,28.33
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2023",rural,Male,18.86
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2023",rural,Female,29.21
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2023",rural,Person,20.04
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2023",urban,Male,12.99
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2023",urban,Female,15.03
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2023",urban,Person,9.78
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,11.96
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,21.74
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,12.75
India,Maharashtra,"PLFS Year (Jul - Jun), 2023",rural,Male,16.15
India,Maharashtra,"PLFS Year (Jul - Jun), 2023",rural,Female,20.57
India,Maharashtra,"PLFS Year (Jul - Jun), 2023",rural,Person,14.14
India,Maharashtra,"PLFS Year (Jul - Jun), 2023",urban,Male,7.36
India,Maharashtra,"PLFS Year (Jul - Jun), 2023",urban,Female,11.86
India,Maharashtra,"PLFS Year (Jul - Jun), 2023",urban,Person,3.84
India,Maharashtra,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,8.22
India,Maharashtra,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,11.61
India,Maharashtra,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,6.79
India,Manipur,"PLFS Year (Jul - Jun), 2023",rural,Male,10.9
India,Manipur,"PLFS Year (Jul - Jun), 2023",rural,Female,23.48
India,Manipur,"PLFS Year (Jul - Jun), 2023",rural,Person,8.15
India,Manipur,"PLFS Year (Jul - Jun), 2023",urban,Male,10.64
India,Manipur,"PLFS Year (Jul - Jun), 2023",urban,Female,9.68
India,Manipur,"PLFS Year (Jul - Jun), 2023",urban,Person,5.01
India,Manipur,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,8.1
India,Manipur,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,14.7
India,Manipur,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,5.69
India,Meghalaya,"PLFS Year (Jul - Jun), 2023",rural,Male,25.12
India,Meghalaya,"PLFS Year (Jul - Jun), 2023",rural,Female,20.34
India,Meghalaya,"PLFS Year (Jul - Jun), 2023",rural,Person,19.94
India,Meghalaya,"PLFS Year (Jul - Jun), 2023",urban,Male,20.12
India,Meghalaya,"PLFS Year (Jul - Jun), 2023",urban,Female,22.55
India,Meghalaya,"PLFS Year (Jul - Jun), 2023",urban,Person,17.88
India,Meghalaya,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,19.67
India,Meghalaya,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,15.72
India,Meghalaya,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,15.54
India,Mizoram,"PLFS Year (Jul - Jun), 2023",rural,Male,62.64
India,Mizoram,"PLFS Year (Jul - Jun), 2023",rural,Female,48.85
India,Mizoram,"PLFS Year (Jul - Jun), 2023",rural,Person,56.74
India,Mizoram,"PLFS Year (Jul - Jun), 2023",urban,Male,8.6
India,Mizoram,"PLFS Year (Jul - Jun), 2023",urban,Female,42.76
India,Mizoram,"PLFS Year (Jul - Jun), 2023",urban,Person,15.62
India,Mizoram,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,25.4
India,Mizoram,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,34.68
India,Mizoram,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,21.54
India,Nagaland,"PLFS Year (Jul - Jun), 2023",rural,Male,25.93
India,Nagaland,"PLFS Year (Jul - Jun), 2023",rural,Female,22.76
India,Nagaland,"PLFS Year (Jul - Jun), 2023",rural,Person,22.04
India,Nagaland,"PLFS Year (Jul - Jun), 2023",urban,Male,28.95
India,Nagaland,"PLFS Year (Jul - Jun), 2023",urban,Female,5.66
India,Nagaland,"PLFS Year (Jul - Jun), 2023",urban,Person,17.07
India,Nagaland,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,19.75
India,Nagaland,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,14.98
India,Nagaland,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,15.52
India,Odisha,"PLFS Year (Jul - Jun), 2023",rural,Male,11.6
India,Odisha,"PLFS Year (Jul - Jun), 2023",rural,Female,13.75
India,Odisha,"PLFS Year (Jul - Jun), 2023",rural,Person,10.11
India,Odisha,"PLFS Year (Jul - Jun), 2023",urban,Male,13.82
India,Odisha,"PLFS Year (Jul - Jun), 2023",urban,Female,16.0
India,Odisha,"PLFS Year (Jul - Jun), 2023",urban,Person,13.89
India,Odisha,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,9.73
India,Odisha,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,11.39
India,Odisha,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,8.53
India,Puducherry,"PLFS Year (Jul - Jun), 2023",rural,Male,52.89
India,Puducherry,"PLFS Year (Jul - Jun), 2023",rural,Female,92.09
India,Puducherry,"PLFS Year (Jul - Jun), 2023",rural,Person,22.76
India,Puducherry,"PLFS Year (Jul - Jun), 2023",urban,Male,11.7
India,Puducherry,"PLFS Year (Jul - Jun), 2023",urban,Female,35.79
India,Puducherry,"PLFS Year (Jul - Jun), 2023",urban,Person,13.83
India,Puducherry,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,13.51
India,Puducherry,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,40.16
India,Puducherry,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,12.17
India,Punjab,"PLFS Year (Jul - Jun), 2023",rural,Male,11.13
India,Punjab,"PLFS Year (Jul - Jun), 2023",rural,Female,19.26
India,Punjab,"PLFS Year (Jul - Jun), 2023",rural,Person,10.37
India,Punjab,"PLFS Year (Jul - Jun), 2023",urban,Male,11.27
India,Punjab,"PLFS Year (Jul - Jun), 2023",urban,Female,16.22
India,Punjab,"PLFS Year (Jul - Jun), 2023",urban,Person,7.75
India,Punjab,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,8.24
India,Punjab,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,14.01
India,Punjab,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,7.32
India,Rajasthan,"PLFS Year (Jul - Jun), 2023",rural,Male,13.01
India,Rajasthan,"PLFS Year (Jul - Jun), 2023",rural,Female,20.1
India,Rajasthan,"PLFS Year (Jul - Jun), 2023",rural,Person,10.46
India,Rajasthan,"PLFS Year (Jul - Jun), 2023",urban,Male,8.15
India,Rajasthan,"PLFS Year (Jul - Jun), 2023",urban,Female,9.77
India,Rajasthan,"PLFS Year (Jul - Jun), 2023",urban,Person,5.56
India,Rajasthan,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,8.75
India,Rajasthan,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,12.25
India,Rajasthan,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,6.66
India,Sikkim,"PLFS Year (Jul - Jun), 2023",rural,Male,9.1
India,Sikkim,"PLFS Year (Jul - Jun), 2023",rural,Female,35.8
India,Sikkim,"PLFS Year (Jul - Jun), 2023",rural,Person,10.36
India,Sikkim,"PLFS Year (Jul - Jun), 2023",urban,Male,22.75
India,Sikkim,"PLFS Year (Jul - Jun), 2023",urban,Female,24.19
India,Sikkim,"PLFS Year (Jul - Jun), 2023",urban,Person,10.99
India,Sikkim,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,8.25
India,Sikkim,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,27.56
India,Sikkim,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,8.69
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2023",rural,Male,11.02
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2023",rural,Female,10.93
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2023",rural,Person,7.29
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2023",urban,Male,5.14
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2023",urban,Female,8.77
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2023",urban,Person,5.62
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,6.64
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,7.9
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,4.99
India,Telangana,"PLFS Year (Jul - Jun), 2023",rural,Male,13.99
India,Telangana,"PLFS Year (Jul - Jun), 2023",rural,Female,20.98
India,Telangana,"PLFS Year (Jul - Jun), 2023",rural,Person,11.13
India,Telangana,"PLFS Year (Jul - Jun), 2023",urban,Male,11.75
India,Telangana,"PLFS Year (Jul - Jun), 2023",urban,Female,25.51
India,Telangana,"PLFS Year (Jul - Jun), 2023",urban,Person,12.62
India,Telangana,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,9.36
India,Telangana,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,16.08
India,Telangana,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,8.49
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2023",rural,Male,35.13
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2023",rural,Female,0.0
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2023",rural,Person,37.16
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2023",urban,Male,62.06
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2023",urban,Female,31.02
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2023",urban,Person,43.67
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,34.83
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,40.68
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,29.0
India,Tripura,"PLFS Year (Jul - Jun), 2023",rural,Male,10.16
India,Tripura,"PLFS Year (Jul - Jun), 2023",rural,Female,10.73
India,Tripura,"PLFS Year (Jul - Jun), 2023",rural,Person,7.48
India,Tripura,"PLFS Year (Jul - Jun), 2023",urban,Male,30.12
India,Tripura,"PLFS Year (Jul - Jun), 2023",urban,Female,19.05
India,Tripura,"PLFS Year (Jul - Jun), 2023",urban,Person,20.09
India,Tripura,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,10.22
India,Tripura,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,10.11
India,Tripura,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,7.52
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2023",rural,Male,9.64
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2023",rural,Female,18.19
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2023",rural,Person,8.77
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2023",urban,Male,11.83
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2023",urban,Female,11.46
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2023",urban,Person,8.83
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,7.65
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,11.24
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,6.63
India,Uttarakhand,"PLFS Year (Jul - Jun), 2023",rural,Male,26.1
India,Uttarakhand,"PLFS Year (Jul - Jun), 2023",rural,Female,15.89
India,Uttarakhand,"PLFS Year (Jul - Jun), 2023",rural,Person,18.93
India,Uttarakhand,"PLFS Year (Jul - Jun), 2023",urban,Male,10.88
India,Uttarakhand,"PLFS Year (Jul - Jun), 2023",urban,Female,14.68
India,Uttarakhand,"PLFS Year (Jul - Jun), 2023",urban,Person,6.69
India,Uttarakhand,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,21.2
India,Uttarakhand,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,11.24
India,Uttarakhand,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,14.33
India,West Bengal,"PLFS Year (Jul - Jun), 2023",rural,Male,11.99
India,West Bengal,"PLFS Year (Jul - Jun), 2023",rural,Female,15.58
India,West Bengal,"PLFS Year (Jul - Jun), 2023",rural,Person,10.06
India,West Bengal,"PLFS Year (Jul - Jun), 2023",urban,Male,11.77
India,West Bengal,"PLFS Year (Jul - Jun), 2023",urban,Female,12.76
India,West Bengal,"PLFS Year (Jul - Jun), 2023",urban,Person,9.66
India,West Bengal,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,8.78
India,West Bengal,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,10.39
India,West Bengal,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,7.21
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2022",rural,Male,36.83
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2022",rural,Female,31.56
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2022",rural,Person,21.65
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2022",urban,Male,22.0
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2022",urban,Female,12.74
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2022",urban,Person,2.37
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,22.23
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,14.12
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,9.86
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2022",rural,Male,10.41
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2022",rural,Female,14.23
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2022",rural,Person,7.4
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2022",urban,Male,10.33
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2022",urban,Female,15.67
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2022",urban,Person,8.84
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,7.65
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,11.07
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,5.79
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2022",rural,Male,21.17
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2022",rural,Female,27.03
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2022",rural,Person,19.56
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2022",urban,Male,10.51
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2022",urban,Female,13.0
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2022",urban,Person,11.37
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,16.73
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,17.98
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,14.7
India,Assam,"PLFS Year (Jul - Jun), 2022",rural,Male,58.14
India,Assam,"PLFS Year (Jul - Jun), 2022",rural,Female,14.02
India,Assam,"PLFS Year (Jul - Jun), 2022",rural,Person,48.62
India,Assam,"PLFS Year (Jul - Jun), 2022",urban,Male,13.83
India,Assam,"PLFS Year (Jul - Jun), 2022",urban,Female,11.62
India,Assam,"PLFS Year (Jul - Jun), 2022",urban,Person,7.96
India,Assam,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,55.73
India,Assam,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,11.67
India,Assam,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,46.38
India,Bihar,"PLFS Year (Jul - Jun), 2022",rural,Male,11.63
India,Bihar,"PLFS Year (Jul - Jun), 2022",rural,Female,43.53
India,Bihar,"PLFS Year (Jul - Jun), 2022",rural,Person,12.11
India,Bihar,"PLFS Year (Jul - Jun), 2022",urban,Male,3.8
India,Bihar,"PLFS Year (Jul - Jun), 2022",urban,Female,38.53
India,Bihar,"PLFS Year (Jul - Jun), 2022",urban,Person,6.53
India,Bihar,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,10.26
India,Bihar,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,35.97
India,Bihar,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,10.61
India,Chandigarh,"PLFS Year (Jul - Jun), 2022",rural,Male,16.12
India,Chandigarh,"PLFS Year (Jul - Jun), 2022",rural,Female,2.73
India,Chandigarh,"PLFS Year (Jul - Jun), 2022",rural,Person,22.67
India,Chandigarh,"PLFS Year (Jul - Jun), 2022",urban,Male,24.45
India,Chandigarh,"PLFS Year (Jul - Jun), 2022",urban,Female,44.37
India,Chandigarh,"PLFS Year (Jul - Jun), 2022",urban,Person,28.67
India,Chandigarh,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,24.92
India,Chandigarh,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,36.78
India,Chandigarh,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,27.13
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2022",rural,Male,12.04
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2022",rural,Female,19.91
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2022",rural,Person,10.91
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2022",urban,Male,15.03
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2022",urban,Female,9.33
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2022",urban,Person,7.92
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,9.84
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,14.28
