Country,Year,Gender,Technical Education Level (Code),Type Of Areas,"Percentage Distribution (UOM:%(Percentage)), Scaling Factor:1","Estimated Persons (15+) (UOM:Number), Scaling Factor:100","Sample Persons (15+) (UOM:Number), Scaling Factor:1"
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Rural+Urban,0.1,,483
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Rural,0.0,,11
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Rural,0.0,,25
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Rural,0.0,,36
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Urban,0.0,,18
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Urban,0.0,,19
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Urban,0.0,,37
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Rural+Urban,0.0,,29
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Rural+Urban,0.0,,44
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Rural+Urban,0.0,,73
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Rural,0.6,,641
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Rural,0.3,,362
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Rural,0.5,,1003
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Urban,1.1,,735
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Urban,0.7,,498
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Urban,0.9,,1233
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Rural+Urban,0.7,,1376
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Rural+Urban,0.4,,860
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Rural+Urban,0.6,,2236
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Rural,0.0,,7
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Rural,0.0,,2
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Rural,0.0,,9
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Urban,0.0,,10
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Urban,0.0,,5
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Urban,0.0,,15
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Rural+Urban,0.0,,17
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Rural+Urban,0.0,,7
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Rural+Urban,0.0,,24
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Rural,0.2,,129
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Rural,0.0,,47
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Rural,0.1,,176
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Urban,0.7,,460
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Urban,0.2,,145
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Urban,0.5,,605
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Rural+Urban,0.3,,589
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Rural+Urban,0.1,,192
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Rural+Urban,0.2,,781
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Rural,0.1,,36
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Rural,0.0,,40
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Rural,0.1,,76
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Urban,0.2,,123
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Urban,0.1,,102
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Urban,0.2,,225
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Rural+Urban,0.1,,159
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Rural+Urban,0.1,,142
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Rural+Urban,0.1,,301
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Rural,0.0,,3
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Rural,0.0,,3
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Rural,0.0,,6
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Urban,0.0,,5
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Urban,0.0,,8
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Urban,0.0,,13
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Rural+Urban,0.0,,8
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Rural+Urban,0.0,,11
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Rural+Urban,0.0,,19
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Rural,0.2,,196
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Rural,0.2,,133
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Rural,0.2,,329
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Urban,0.6,,367
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Urban,0.7,,406
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Urban,0.6,,773
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Rural+Urban,0.3,,563
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Rural+Urban,0.3,,539
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Rural+Urban,0.3,,1102
India,"PLFS Year (Jul - Jun), 2021",Male,No Technical Education -01,Rural,97.3,2978895.0,91071
India,"PLFS Year (Jul - Jun), 2021",Female,No Technical Education -01,Rural,98.7,3005400.0,90947
India,"PLFS Year (Jul - Jun), 2021",Persons,No Technical Education -01,Rural,98.0,5984295.0,182018
India,"PLFS Year (Jul - Jun), 2021",Male,No Technical Education -01,Urban,91.0,1181885.0,66073
India,"PLFS Year (Jul - Jun), 2021",Female,No Technical Education -01,Urban,95.3,1194482.0,66951
India,"PLFS Year (Jul - Jun), 2021",Persons,No Technical Education -01,Urban,93.1,2376367.0,133024
India,"PLFS Year (Jul - Jun), 2021",Male,No Technical Education -01,Rural+Urban,95.4,4160780.0,157144
India,"PLFS Year (Jul - Jun), 2021",Female,No Technical Education -01,Rural+Urban,97.7,4199883.0,157898
India,"PLFS Year (Jul - Jun), 2021",Persons,No Technical Education -01,Rural+Urban,96.6,8360663.0,315042
India,"PLFS Year (Jul - Jun), 2021",Male,Technical Degree in Agriculture -02,Rural,0.0,627.0,15
India,"PLFS Year (Jul - Jun), 2021",Female,Technical Degree in Agriculture -02,Rural,0.0,336.0,4
India,"PLFS Year (Jul - Jun), 2021",Persons,Technical Degree in Agriculture -02,Rural,0.0,963.0,19
India,"PLFS Year (Jul - Jun), 2021",Male,Technical Degree in Agriculture -02,Urban,0.0,440.0,31
India,"PLFS Year (Jul - Jun), 2021",Female,Technical Degree in Agriculture -02,Urban,0.0,260.0,15
India,"PLFS Year (Jul - Jun), 2021",Persons,Technical Degree in Agriculture -02,Urban,0.0,700.0,46
India,"PLFS Year (Jul - Jun), 2021",Male,Technical Degree in Agriculture -02,Rural+Urban,0.0,1067.0,46
India,"PLFS Year (Jul - Jun), 2021",Female,Technical Degree in Agriculture -02,Rural+Urban,0.0,596.0,19
India,"PLFS Year (Jul - Jun), 2021",Persons,Technical Degree in Agriculture -02,Rural+Urban,0.0,1663.0,65
India,"PLFS Year (Jul - Jun), 2021",Male,Technical Degree in Engineering/Technology -03,Rural,0.4,12450.0,314
India,"PLFS Year (Jul - Jun), 2021",Female,Technical Degree in Engineering/Technology -03,Rural,0.2,4640.0,84
India,"PLFS Year (Jul - Jun), 2021",Persons,Technical Degree in Engineering/Technology -03,Rural,0.3,17090.0,398
India,"PLFS Year (Jul - Jun), 2021",Male,Technical Degree in Engineering/Technology -03,Urban,2.9,37693.0,1599
India,"PLFS Year (Jul - Jun), 2021",Female,Technical Degree in Engineering/Technology -03,Urban,1.0,12976.0,550
India,"PLFS Year (Jul - Jun), 2021",Persons,Technical Degree in Engineering/Technology -03,Urban,2.0,50669.0,2149
India,"PLFS Year (Jul - Jun), 2021",Male,Technical Degree in Engineering/Technology -03,Rural+Urban,1.1,50144.0,1913
India,"PLFS Year (Jul - Jun), 2021",Female,Technical Degree in Engineering/Technology -03,Rural+Urban,0.4,17615.0,634
India,"PLFS Year (Jul - Jun), 2021",Persons,Technical Degree in Engineering/Technology -03,Rural+Urban,0.8,67759.0,2547
India,"PLFS Year (Jul - Jun), 2021",Male,Technical Degree in Medicine -04,Rural,0.0,1316.0,39
India,"PLFS Year (Jul - Jun), 2021",Female,Technical Degree in Medicine -04,Rural,0.0,1410.0,43
India,"PLFS Year (Jul - Jun), 2021",Persons,Technical Degree in Medicine -04,Rural,0.0,2726.0,82
India,"PLFS Year (Jul - Jun), 2021",Male,Technical Degree in Medicine -04,Urban,0.3,3393.0,173
India,"PLFS Year (Jul - Jun), 2021",Female,Technical Degree in Medicine -04,Urban,0.3,3298.0,176
India,"PLFS Year (Jul - Jun), 2021",Persons,Technical Degree in Medicine -04,Urban,0.3,6691.0,349
India,"PLFS Year (Jul - Jun), 2021",Male,Technical Degree in Medicine -04,Rural+Urban,0.1,4709.0,212
India,"PLFS Year (Jul - Jun), 2021",Female,Technical Degree in Medicine -04,Rural+Urban,0.1,4708.0,219
India,"PLFS Year (Jul - Jun), 2021",Persons,Technical Degree in Medicine -04,Rural+Urban,0.1,9417.0,431
India,"PLFS Year (Jul - Jun), 2021",Male,Technical Degree in Crafts -05,Rural,0.0,76.0,4
India,"PLFS Year (Jul - Jun), 2021",Female,Technical Degree in Crafts -05,Rural,0.0,53.0,2
India,"PLFS Year (Jul - Jun), 2021",Persons,Technical Degree in Crafts -05,Rural,0.0,128.0,6
India,"PLFS Year (Jul - Jun), 2021",Male,Technical Degree in Crafts -05,Urban,0.0,81.0,5
India,"PLFS Year (Jul - Jun), 2021",Female,Technical Degree in Crafts -05,Urban,0.0,152.0,10
India,"PLFS Year (Jul - Jun), 2021",Persons,Technical Degree in Crafts -05,Urban,0.0,233.0,15
India,"PLFS Year (Jul - Jun), 2021",Male,Technical Degree in Crafts -05,Rural+Urban,0.0,157.0,9
India,"PLFS Year (Jul - Jun), 2021",Female,Technical Degree in Crafts -05,Rural+Urban,0.0,204.0,12
India,"PLFS Year (Jul - Jun), 2021",Persons,Technical Degree in Crafts -05,Rural+Urban,0.0,361.0,21
India,"PLFS Year (Jul - Jun), 2021",Male,Technical Degree in Other Subjects -06,Rural,0.3,7672.0,238
India,"PLFS Year (Jul - Jun), 2021",Female,Technical Degree in Other Subjects -06,Rural,0.2,7104.0,175
India,"PLFS Year (Jul - Jun), 2021",Persons,Technical Degree in Other Subjects -06,Rural,0.2,14776.0,413
India,"PLFS Year (Jul - Jun), 2021",Male,Technical Degree in Other Subjects -06,Urban,1.0,12344.0,622
India,"PLFS Year (Jul - Jun), 2021",Female,Technical Degree in Other Subjects -06,Urban,0.9,11663.0,600
India,"PLFS Year (Jul - Jun), 2021",Persons,Technical Degree in Other Subjects -06,Urban,0.9,24008.0,1222
India,"PLFS Year (Jul - Jun), 2021",Male,Technical Degree in Other Subjects -06,Rural+Urban,0.5,20016.0,860
India,"PLFS Year (Jul - Jun), 2021",Female,Technical Degree in Other Subjects -06,Rural+Urban,0.4,18767.0,775
India,"PLFS Year (Jul - Jun), 2021",Persons,Technical Degree in Other Subjects -06,Rural+Urban,0.4,38783.0,1635
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Rural,0.0,897.0,20
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Rural,0.0,177.0,5
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Rural,0.0,1074.0,25
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Urban,0.0,313.0,11
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Urban,0.0,72.0,3
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Urban,0.0,385.0,14
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Rural+Urban,0.0,1210.0,31
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Rural+Urban,0.0,249.0,8
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Rural+Urban,0.0,1459.0,39
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Rural,0.8,24130.0,688
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Rural,0.1,3121.0,105
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Rural,0.4,27251.0,793
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Urban,1.7,21944.0,1128
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Urban,0.3,3516.0,221
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Urban,1.0,25460.0,1349
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Rural+Urban,1.1,46074.0,1816
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Rural+Urban,0.2,6636.0,326
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Rural+Urban,0.6,52710.0,2142
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Rural,0.1,2377.0,66
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Rural,0.1,3233.0,106
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Rural,0.1,5610.0,172
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Urban,0.1,1753.0,98
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Urban,0.2,3061.0,170
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Urban,0.2,4814.0,268
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Rural+Urban,0.1,4130.0,164
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Rural+Urban,0.1,6295.0,276
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Rural+Urban,0.1,10424.0,440
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Rural,0.0,297.0,4
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Rural,0.0,749.0,27
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Rural,0.0,1046.0,31
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Urban,0.0,491.0,17
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Urban,0.0,260.0,20
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Urban,0.0,751.0,37
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Rural+Urban,0.0,789.0,21
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Rural+Urban,0.0,1009.0,47
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Rural+Urban,0.0,1798.0,68
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Rural,0.6,18485.0,602
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Rural,0.4,10720.0,351
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Rural,0.5,29205.0,953
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Urban,1.2,15280.0,767
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Urban,0.7,9211.0,495
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Urban,1.0,24491.0,1262
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Rural+Urban,0.8,33765.0,1369
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Rural+Urban,0.5,19932.0,846
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Rural+Urban,0.6,53696.0,2215
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Rural,0.0,22.0,3
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Rural,0.0,3.0,1
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Rural,0.0,25.0,4
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Urban,0.0,205.0,11
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Urban,0.0,116.0,7
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Urban,0.0,321.0,18
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Rural+Urban,0.0,227.0,14
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Rural+Urban,0.0,119.0,8
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Rural+Urban,0.0,346.0,22
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Rural,0.1,4469.0,135
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Rural,0.0,800.0,46
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Rural,0.1,5269.0,181
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Urban,0.9,11467.0,518
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Urban,0.3,3519.0,167
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Urban,0.6,14985.0,685
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Rural+Urban,0.4,15936.0,653
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Rural+Urban,0.1,4319.0,213
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Rural+Urban,0.2,20254.0,866
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Rural,0.0,999.0,29
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Rural,0.0,738.0,26
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Rural,0.0,1737.0,55
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Urban,0.2,2197.0,132
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Urban,0.1,1635.0,88
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Urban,0.2,3832.0,220
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Rural+Urban,0.1,3196.0,161
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Rural+Urban,0.1,2373.0,114
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Rural+Urban,0.1,5569.0,275
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Rural,0.0,86.0,2
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Rural,0.0,39.0,1
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Rural,0.0,125.0,3
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Urban,0.0,119.0,8
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Urban,0.0,190.0,10
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Urban,0.0,309.0,18
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Rural+Urban,0.0,205.0,10
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Rural+Urban,0.0,229.0,11
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Rural+Urban,0.0,434.0,21
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Rural,0.3,9081.0,232
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Rural,0.2,5049.0,166
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Rural,0.2,14130.0,398
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Urban,0.7,9005.0,411
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Urban,0.7,9046.0,443
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Urban,0.7,18051.0,854
India,"PLFS Year (Jul - Jun), 2021",Male,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Rural+Urban,0.4,18087.0,643
India,"PLFS Year (Jul - Jun), 2021",Female,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Rural+Urban,0.3,14095.0,609
India,"PLFS Year (Jul - Jun), 2021",Persons,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Rural+Urban,0.4,32181.0,1252
India,"PLFS Year (Jul - Jun), 2020",Male,No Technical Education -01,Rural,97.4,2828218.0,87744
