Country,Year,Gender,Technical Education Level (Code),Type Of Areas,"Percentage Distribution (UOM:%(Percentage)), Scaling Factor:1","Estimated Persons (15+) (UOM:Number), Scaling Factor:100","Sample Persons (15+) (UOM:Number), Scaling Factor:1"
India,"PLFS Year (Jul - Jun), 2023",Male,Technical Degree in Other Subjects -06,Rural+Urban,0.6,,1054
India,"PLFS Year (Jul - Jun), 2023",Female,Technical Degree in Other Subjects -06,Rural+Urban,0.7,,1066
India,"PLFS Year (Jul - Jun), 2023",Persons,Technical Degree in Other Subjects -06,Rural+Urban,0.7,,2120
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Rural,0.0,,15
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Rural,0.0,,4
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Rural,0.0,,19
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Urban,0.0,,13
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Urban,0.0,,2
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Urban,0.0,,15
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Rural+Urban,0.0,,28
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Rural+Urban,0.0,,6
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Rural+Urban,0.0,,34
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Rural,0.9,,748
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Rural,0.1,,91
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Rural,0.5,,839
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Urban,1.9,,1149
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Urban,0.3,,173
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Urban,1.1,,1322
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Rural+Urban,1.2,,1897
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Rural+Urban,0.1,,264
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Rural+Urban,0.7,,2161
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Rural,0.1,,76
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Rural,0.1,,129
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Rural,0.1,,205
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Urban,0.2,,133
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Urban,0.3,,233
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Urban,0.3,,366
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Rural+Urban,0.1,,209
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Rural+Urban,0.2,,362
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Rural+Urban,0.1,,571
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Rural,0.0,,10
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Rural,0.0,,40
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Rural,0.0,,50
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Urban,0.0,,16
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Urban,0.0,,21
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Urban,0.0,,37
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Rural+Urban,0.0,,26
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Rural+Urban,0.0,,61
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Below Graduate Level) in Crafts -10,Rural+Urban,0.0,,87
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Rural,0.6,,550
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Rural,0.4,,410
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Rural,0.5,,960
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Urban,1.1,,737
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Urban,0.8,,529
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Urban,1.0,,1266
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Rural+Urban,0.7,,1287
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Rural+Urban,0.5,,939
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Below Graduate Level) in Other Subjects -11,Rural+Urban,0.6,,2226
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Rural,0.0,,6
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Rural,0.0,,4
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Rural,0.0,,10
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Urban,0.0,,8
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Urban,0.0,,5
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Urban,0.0,,13
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Rural+Urban,0.0,,14
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Rural+Urban,0.0,,9
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Graduate And Above Level) in Agriculture -12,Rural+Urban,0.0,,23
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Rural,0.2,,113
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Rural,0.0,,28
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Rural,0.1,,141
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Urban,0.8,,454
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Urban,0.3,,133
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Urban,0.5,,587
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Rural+Urban,0.4,,567
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Rural+Urban,0.1,,161
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Graduate And Above Level) in Engineering/Technology -13,Rural+Urban,0.2,,728
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Rural,0.0,,36
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Rural,0.1,,37
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Rural,0.0,,73
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Urban,0.2,,136
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Urban,0.2,,105
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Urban,0.2,,241
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Rural+Urban,0.1,,172
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Rural+Urban,0.1,,142
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Graduate And Above Level) in Medicine -14,Rural+Urban,0.1,,314
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Rural,0.0,,7
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Rural,0.0,,4
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Rural,0.0,,11
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Urban,0.0,,12
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Urban,0.0,,6
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Urban,0.0,,18
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Rural+Urban,0.0,,19
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Rural+Urban,0.0,,10
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Graduate And Above Level) in Crafts -15,Rural+Urban,0.0,,29
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Rural,0.2,,197
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Rural,0.2,,147
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Rural,0.2,,344
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Urban,0.5,,338
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Urban,0.5,,363
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Urban,0.5,,701
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Rural+Urban,0.3,,535
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Rural+Urban,0.3,,510
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Graduate And Above Level) in Other Subjects -16,Rural+Urban,0.3,,1045
India,"PLFS Year (Jul - Jun), 2022",Male,No Technical Education -01,Rural,97.1,,88170
India,"PLFS Year (Jul - Jun), 2022",Female,No Technical Education -01,Rural,98.7,,89120
India,"PLFS Year (Jul - Jun), 2022",Persons,No Technical Education -01,Rural,97.9,,177290
India,"PLFS Year (Jul - Jun), 2022",Male,No Technical Education -01,Urban,90.9,,64955
India,"PLFS Year (Jul - Jun), 2022",Female,No Technical Education -01,Urban,94.9,,65608
India,"PLFS Year (Jul - Jun), 2022",Persons,No Technical Education -01,Urban,92.8,,130563
India,"PLFS Year (Jul - Jun), 2022",Male,No Technical Education -01,Rural+Urban,95.3,,153125
India,"PLFS Year (Jul - Jun), 2022",Female,No Technical Education -01,Rural+Urban,97.6,,154728
India,"PLFS Year (Jul - Jun), 2022",Persons,No Technical Education -01,Rural+Urban,96.4,,307853
India,"PLFS Year (Jul - Jun), 2022",Male,Technical Degree in Agriculture -02,Rural,0.0,,16
India,"PLFS Year (Jul - Jun), 2022",Female,Technical Degree in Agriculture -02,Rural,0.0,,7
India,"PLFS Year (Jul - Jun), 2022",Persons,Technical Degree in Agriculture -02,Rural,0.0,,23
India,"PLFS Year (Jul - Jun), 2022",Male,Technical Degree in Agriculture -02,Urban,0.1,,34
India,"PLFS Year (Jul - Jun), 2022",Female,Technical Degree in Agriculture -02,Urban,0.0,,11
India,"PLFS Year (Jul - Jun), 2022",Persons,Technical Degree in Agriculture -02,Urban,0.0,,45
India,"PLFS Year (Jul - Jun), 2022",Male,Technical Degree in Agriculture -02,Rural+Urban,0.0,,50
India,"PLFS Year (Jul - Jun), 2022",Female,Technical Degree in Agriculture -02,Rural+Urban,0.0,,18
India,"PLFS Year (Jul - Jun), 2022",Persons,Technical Degree in Agriculture -02,Rural+Urban,0.0,,68
India,"PLFS Year (Jul - Jun), 2022",Male,Technical Degree in Engineering/Technology -03,Rural,0.4,,311
India,"PLFS Year (Jul - Jun), 2022",Female,Technical Degree in Engineering/Technology -03,Rural,0.1,,87
India,"PLFS Year (Jul - Jun), 2022",Persons,Technical Degree in Engineering/Technology -03,Rural,0.3,,398
India,"PLFS Year (Jul - Jun), 2022",Male,Technical Degree in Engineering/Technology -03,Urban,3.0,,1614
India,"PLFS Year (Jul - Jun), 2022",Female,Technical Degree in Engineering/Technology -03,Urban,1.2,,592
India,"PLFS Year (Jul - Jun), 2022",Persons,Technical Degree in Engineering/Technology -03,Urban,2.1,,2206
India,"PLFS Year (Jul - Jun), 2022",Male,Technical Degree in Engineering/Technology -03,Rural+Urban,1.1,,1925
India,"PLFS Year (Jul - Jun), 2022",Female,Technical Degree in Engineering/Technology -03,Rural+Urban,0.4,,679
India,"PLFS Year (Jul - Jun), 2022",Persons,Technical Degree in Engineering/Technology -03,Rural+Urban,0.8,,2604
India,"PLFS Year (Jul - Jun), 2022",Male,Technical Degree in Medicine -04,Rural,0.0,,34
India,"PLFS Year (Jul - Jun), 2022",Female,Technical Degree in Medicine -04,Rural,0.0,,44
India,"PLFS Year (Jul - Jun), 2022",Persons,Technical Degree in Medicine -04,Rural,0.0,,78
India,"PLFS Year (Jul - Jun), 2022",Male,Technical Degree in Medicine -04,Urban,0.3,,167
India,"PLFS Year (Jul - Jun), 2022",Female,Technical Degree in Medicine -04,Urban,0.4,,235
India,"PLFS Year (Jul - Jun), 2022",Persons,Technical Degree in Medicine -04,Urban,0.3,,402
India,"PLFS Year (Jul - Jun), 2022",Male,Technical Degree in Medicine -04,Rural+Urban,0.1,,201
India,"PLFS Year (Jul - Jun), 2022",Female,Technical Degree in Medicine -04,Rural+Urban,0.1,,279
India,"PLFS Year (Jul - Jun), 2022",Persons,Technical Degree in Medicine -04,Rural+Urban,0.1,,480
India,"PLFS Year (Jul - Jun), 2022",Male,Technical Degree in Crafts -05,Rural,0.0,,3
India,"PLFS Year (Jul - Jun), 2022",Female,Technical Degree in Crafts -05,Rural,0.0,,2
India,"PLFS Year (Jul - Jun), 2022",Persons,Technical Degree in Crafts -05,Rural,0.0,,5
India,"PLFS Year (Jul - Jun), 2022",Male,Technical Degree in Crafts -05,Urban,0.0,,3
India,"PLFS Year (Jul - Jun), 2022",Female,Technical Degree in Crafts -05,Urban,0.0,,4
India,"PLFS Year (Jul - Jun), 2022",Persons,Technical Degree in Crafts -05,Urban,0.0,,7
